股票名稱,成交日期,交易類別,成交股數,帳面收入,持有成本,損益,報酬率,明細,自設持有成本,設定,新持有成本
金居(8358),2026/09/14,現股互抵賣出,1000,510135,501097,9038,1.80%,,0,,0
聯電(2303),2026/09/14,現股互抵賣出,2000,281523,283554,-2031,-0.72%,,0,,0
台積電(2330),2026/09/14,現股互抵賣出,4000,9553780,9551862,1918,0.02%,,0,,0
