stock_id,close,chg,open,high,low
1303,234.0,-0.21,232.0,236.5,220.5
2303,142.5,1.42,136.5,143.5,135.0
2330,2380.0,-1.24,2385.0,2395.0,2380.0
6173,293.5,1.2,274.0,304.5,272.5
8358,518.0,6.8,477.0,530.0,477.0
