成交時間,交易類別,委託條件,股票名稱,成交數量,成交單價,成交價金,盤別
12:31:00,現股買進,ROD,信昌電(6173),1000,298.50,298500,整股
12:17:41,現股買進,ROD,信昌電(6173),1000,290.50,290500,整股
12:11:33,現股買進,ROD,南亞(1303),1000,233.50,233500,整股
11:52:01,現股買進,ROD,聯電(2303),1000,142.50,142500,整股
11:27:57,現股買進,ROD,南亞(1303),1000,231.50,231500,整股
11:12:56,現股買進,ROD,聯電(2303),2000,142.50,285000,整股
11:00:53,現股買進,ROD,聯電(2303),1000,142.00,142000,整股
10:47:07,現股賣出,ROD,金居(8358),1000,511.00,511000,整股
10:42:21,現股賣出,ROD,聯電(2303),1000,141.00,141000,整股
10:42:21,現股賣出,ROD,聯電(2303),1000,141.00,141000,整股
10:25:46,現股買進,ROD,聯電(2303),1000,141.50,141500,整股
10:23:08,現股買進,ROD,金居(8358),1000,501.00,501000,整股
10:14:04,現股賣出,ROD,台積電(2330),1000,2390.00,2390000,整股
10:13:59,現股賣出,ROD,台積電(2330),1000,2390.00,2390000,整股
10:13:19,現股買進,ROD,聯電(2303),1000,142.00,142000,整股
09:52:04,現股買進,ROD,台積電(2330),2000,2385.00,4770000,整股
09:17:05,現股賣出,ROD,台積電(2330),1000,2395.00,2395000,整股
09:16:14,現股賣出,ROD,台積電(2330),1000,2395.00,2395000,整股
09:03:18,現股買進,ROD,台積電(2330),2000,2390.00,4780000,整股
