筆數,狀態,委託書號,盤別,交易類別,委託條件,股票名稱,原委託,價格,取消,成交,剩餘,來源別,委託時間,有效日期,詳細
1,委託成功,B02VL,整股,現股賣出,ROD,南亞(1303),2,236.00,0,0,2,XQTrade,13:26:09,2026/09/14,
2,委託成功,B02KL,整股,現股賣出,ROD,信昌電(6173),1,318.00,0,0,1,XQTrade,12:40:05,2026/09/14,
3,委託失敗,00000,整股,現股賣出,ROD,信昌電(6173),1,317.00,0,0,1,XQTrade,12:28:12,2026/09/14,
4,委託成功,B02IB,整股,現股賣出,ROD,信昌電(6173),1,317.50,0,0,1,XQTrade,12:28:09,2026/09/14,
5,完全成交,B02HY,整股,現股買進,ROD,信昌電(6173),1,298.50,0,1,0,XQTrade,12:25:54,2026/09/14,
6,完全成交,B02GQ,整股,現股買進,ROD,信昌電(6173),1,290.50,0,1,0,XQTrade,12:17:35,2026/09/14,
7,委託成功,B02EN,整股,現股買進,ROD,信昌電(6173),1,288.50,0,0,1,XQTrade,12:06:02,2026/09/14,
8,完全成交,B02EE,整股,現股買進,ROD,南亞(1303),1,233.50,0,1,0,XQTrade,12:03:53,2026/09/14,
9,完全成交,B02C7,整股,現股買進,ROD,聯電(2303),1,142.50,0,1,0,XQTrade,11:46:44,2026/09/14,
10,已刪除,B029U,整股,現股買進,ROD,聯電(2303),1,142.50,1,0,0,XQTrade,11:30:15,2026/09/14,
11,完全成交,B0296,整股,現股買進,ROD,南亞(1303),1,231.50,0,1,0,XQTrade,11:26:54,2026/09/14,
12,完全成交,B0249,整股,現股買進,ROD,聯電(2303),2,142.50,0,2,0,XQTrade,11:04:53,2026/09/14,
13,已刪除,B0231,整股,現股買進,ROD,聯電(2303),1,142.00,1,0,0,XQTrade,11:01:11,2026/09/14,
14,完全成交,B022X,整股,現股買進,ROD,聯電(2303),1,142.00,0,1,0,XQTrade,11:00:53,2026/09/14,
15,已刪除,B022Q,整股,現股買進,ROD,聯電(2303),1,141.50,1,0,0,XQTrade,10:59:57,2026/09/14,
16,完全成交,B01Z9,整股,現股賣出,ROD,金居(8358),1,511.00,0,1,0,XQTrade,10:44:35,2026/09/14,
17,已刪除,B01YV,整股,現股賣出,ROD,金居(8358),1,508.00,1,0,0,XQTrade,10:43:05,2026/09/14,
18,完全成交,B01YP,整股,現股賣出,ROD,聯電(2303),2,141.00,0,2,0,XQTrade,10:42:21,2026/09/14,
19,完全成交,B01T2,整股,現股買進,ROD,聯電(2303),1,141.50,0,1,0,XQTrade,10:23:50,2026/09/14,
20,完全成交,B01SF,整股,現股買進,ROD,金居(8358),1,501.00,0,1,0,XQTrade,10:22:16,2026/09/14,
21,完全成交,B01P0,整股,現股買進,ROD,聯電(2303),1,142.00,0,1,0,XQTrade,10:13:18,2026/09/14,
22,完全成交,B01OV,整股,現股賣出,ROD,台積電(2330),2,2390.00,0,2,0,XQTrade,10:12:57,2026/09/14,
23,已刪除,B01O3,整股,現股賣出,ROD,台積電(2330),2,2390.00,2,0,0,XQTrade,10:10:42,2026/09/14,
24,已刪除,B01N6,整股,現股賣出,ROD,台積電(2330),2,2390.00,2,0,0,XQTrade,10:08:14,2026/09/14,
25,已刪除,B01KK,整股,現股賣出,ROD,台積電(2330),2,2390.00,2,0,0,XQTrade,10:01:56,2026/09/14,
26,已刪除,B01JI,整股,現股賣出,ROD,台積電(2330),2,2390.00,2,0,0,XQTrade,09:59:09,2026/09/14,
27,完全成交,B01GR,整股,現股買進,ROD,台積電(2330),2,2385.00,0,2,0,XQTrade,09:52:04,2026/09/14,
28,已刪除,B016X,整股,現股買進,ROD,台積電(2330),2,2385.00,2,0,0,XQTrade,09:32:12,2026/09/14,
29,完全成交,B00VA,整股,現股賣出,ROD,台積電(2330),1,2395.00,0,1,0,XQTrade,09:13:30,2026/09/14,
30,完全成交,B00V7,整股,現股賣出,ROD,台積電(2330),1,2395.00,0,1,0,XQTrade,09:13:26,2026/09/14,
31,已刪除,B00PY,整股,現股賣出,ROD,台積電(2330),1,2390.00,1,0,0,XQTrade,09:08:31,2026/09/14,
32,已刪除,B00KC,整股,現股賣出,ROD,台積電(2330),2,2395.00,2,0,0,XQTrade,09:04:32,2026/09/14,
33,已刪除,B00HX,整股,現股賣出,ROD,台積電(2330),2,2395.00,2,0,0,XQTrade,09:03:26,2026/09/14,
34,完全成交,B00HN,整股,現股買進,ROD,台積電(2330),2,2390.00,0,2,0,XQTrade,09:03:18,2026/09/14,
