成交時間,交易類別,委託條件,股票名稱,成交數量,成交單價,成交價金,盤別
12:35:26,現股買進,ROD,創新服務(7828),1000,2055.00,2055000,整股
12:14:05,現股買進,ROD,南亞(1303),1000,236.50,236500,整股
11:48:00,現沖賣出,ROD,聯一光(3441),1000,131.00,131000,整股
11:40:13,現股賣出,ROD,友達(2409),1000,29.85,29850,整股
11:40:13,現股賣出,ROD,友達(2409),10000,29.85,298500,整股
11:40:13,現股賣出,ROD,友達(2409),1000,29.85,29850,整股
11:40:13,現股賣出,ROD,友達(2409),1000,29.85,29850,整股
11:40:13,現股賣出,ROD,友達(2409),2000,29.85,59700,整股
11:30:28,現股買進,ROD,友達(2409),5000,30.00,150000,整股
11:27:16,現股買進,ROD,聯一光(3441),1000,132.50,132500,整股
11:21:44,現股買進,ROD,友達(2409),5000,30.20,151000,整股
11:20:11,現股買進,ROD,友達(2409),5000,30.10,150500,整股
10:37:46,現股賣出,ROD,鼎元(2426),1000,100.50,100500,整股
10:09:43,現沖賣出,ROD,華邦電(2344),5000,189.50,947500,整股
10:05:16,現股買進,ROD,華邦電(2344),1000,191.00,191000,整股
10:02:52,現股買進,ROD,鼎元(2426),1000,101.50,101500,整股
09:51:12,現股買進,ROD,華邦電(2344),1000,190.00,190000,整股
09:45:17,現股買進,ROD,華邦電(2344),1000,190.50,190500,整股
09:34:35,現股買進,ROD,華邦電(2344),1000,189.50,189500,整股
09:33:58,現股買進,ROD,華邦電(2344),1000,190.00,190000,整股
09:17:30,現沖賣出,ROD,南亞科(2408),1000,535.00,535000,整股
09:16:06,現沖賣出,ROD,南亞科(2408),1000,538.00,538000,整股
09:13:12,現股買進,ROD,南亞科(2408),1000,537.00,537000,整股
09:07:01,現股買進,ROD,南亞科(2408),1000,533.00,533000,整股
09:01:34,融資賣出,ROD,友達(2409),5000,29.15,145750,整股
09:01:28,融資賣出,ROD,友達(2409),5000,29.10,145500,整股
09:01:28,融資賣出,ROD,友達(2409),5000,29.05,145250,整股
09:01:06,融資賣出,ROD,友達(2409),5000,29.00,145000,整股
09:01:06,融資賣出,ROD,友達(2409),5000,28.95,144750,整股
09:01:01,融資賣出,ROD,力積電(6770),1000,73.90,73900,整股
09:01:01,融資賣出,ROD,力積電(6770),1000,73.80,73800,整股
09:00:55,融資賣出,ROD,友達(2409),1000,28.90,28900,整股
09:00:54,融資賣出,ROD,友達(2409),4000,28.90,115600,整股
09:00:49,融資賣出,ROD,友達(2409),5000,28.85,144250,整股
09:00:48,融資賣出,ROD,力積電(6770),1000,73.70,73700,整股
09:00:39,融資賣出,ROD,力積電(6770),1000,73.60,73600,整股
09:00:34,融資賣出,ROD,力積電(6770),1000,73.50,73500,整股
09:00:22,融資賣出,ROD,力積電(6770),1000,73.40,73400,整股
09:00:16,融資賣出,ROD,力積電(6770),1000,73.30,73300,整股
09:00:01,融資賣出,ROD,南亞科(2408),1000,527.00,527000,整股
09:00:00,融資賣出,ROD,友達(2409),5000,28.80,144000,整股
09:00:00,融資賣出,ROD,友達(2409),5000,28.80,144000,整股
09:00:00,融資賣出,ROD,友達(2409),3000,28.80,86400,整股
09:00:00,融資賣出,ROD,友達(2409),1000,28.80,28800,整股
09:00:00,融資賣出,ROD,友達(2409),1000,28.80,28800,整股
09:00:00,融資賣出,ROD,力積電(6770),1000,73.20,73200,整股
09:00:00,融資賣出,ROD,力積電(6770),1000,73.20,73200,整股
09:00:00,融資賣出,ROD,力積電(6770),1000,73.20,73200,整股
