股票名稱,成交日期,交易類別,成交股數,帳面收入,持有成本,損益,報酬率,明細,自設持有成本,設定,新持有成本
南亞科(2408),2026/09/08,融資賣出,1000,265289,260101,5188,1.99%,,0,,0
力積電(6770),2026/09/08,融資賣出,10000,302411,297540,4871,1.64%,,0,,0
友達(2409),2026/09/08,融資賣出,50000,574287,583026,-8739,-1.50%,,0,,0
南亞科(2408),2026/09/08,現股互抵賣出,2000,1071183,1070207,976,0.09%,,0,,0
華邦電(2344),2026/09/08,現股互抵賣出,5000,945895,951184,-5289,-0.56%,,0,,0
聯一光(3441),2026/09/08,現股互抵賣出,1000,130779,132525,-1746,-1.32%,,0,,0
鼎元(2426),2026/09/08,現股互抵賣出,1000,100331,101519,-1188,-1.17%,,0,,0
友達(2409),2026/09/08,現股互抵賣出,15000,446992,451587,-4595,-1.02%,,0,,0
