筆數,狀態,委託書號,盤別,交易類別,委託條件,股票名稱,原委託,價格,取消,成交,剩餘,來源別,委託時間,有效日期,詳細
1,完全成交,B0338,整股,現股買進,ROD,南亞(1303),1,236.50,0,1,0,XQTrade,12:14:00,2026/09/08,
2,完全成交,B02ZZ,整股,現股買進,ROD,創新服務(7828),1,市價,0,1,0,XQTrade,11:59:05,2026/09/08,
3,委託取消,B02Z5,整股,現股買進,ROD,創新服務(7828),1,2010.00,1,0,0,XQTrade,11:54:15,2026/09/08,
4,完全成交,B02Y2,整股,現沖賣出,ROD,聯一光(3441),1,131.00,0,1,0,XQTrade,11:47:59,2026/09/08,
5,完全成交,B02WE,整股,現股賣出,ROD,友達(2409),15,29.85,0,15,0,XQTrade,11:40:12,2026/09/08,
6,委託取消,B02WD,整股,現股賣出,ROD,聯一光(3441),1,132.00,1,0,0,XQTrade,11:40:07,2026/09/08,
7,完全成交,B02S9,整股,現股買進,ROD,聯一光(3441),1,132.50,0,1,0,XQTrade,11:24:26,2026/09/08,
8,完全成交,B02RN,整股,現股買進,ROD,友達(2409),5,30.20,0,5,0,XQTrade,11:21:22,2026/09/08,
9,完全成交,B02R6,整股,現股買進,ROD,友達(2409),5,30.10,0,5,0,XQTrade,11:18:53,2026/09/08,
10,完全成交,B02QG,整股,現股買進,ROD,友達(2409),5,30.00,0,5,0,XQTrade,11:15:53,2026/09/08,
11,完全成交,B02GA,整股,現股賣出,ROD,鼎元(2426),1,100.50,0,1,0,XQTrade,10:35:19,2026/09/08,
12,完全成交,B0276,整股,現沖賣出,ROD,華邦電(2344),5,189.50,0,5,0,XQTrade,10:09:42,2026/09/08,
13,完全成交,B0243,整股,現股買進,ROD,華邦電(2344),1,191.00,0,1,0,XQTrade,10:01:21,2026/09/08,
14,完全成交,B022P,整股,現股買進,ROD,鼎元(2426),1,101.50,0,1,0,XQTrade,09:58:31,2026/09/08,
15,委託取消,B01Z3,整股,現股賣出,ROD,華邦電(2344),1,196.50,1,0,0,XQTrade,09:51:32,2026/09/08,
16,委託取消,B01VM,整股,現股賣出,ROD,華邦電(2344),1,197.00,1,0,0,XQTrade,09:45:29,2026/09/08,
17,委託取消,B01U9,整股,現股賣出,ROD,華邦電(2344),1,195.00,1,0,0,XQTrade,09:42:59,2026/09/08,
18,委託取消,B01U8,整股,現股賣出,ROD,華邦電(2344),1,193.00,1,0,0,XQTrade,09:42:56,2026/09/08,
19,完全成交,B01U6,整股,現股買進,ROD,華邦電(2344),1,190.50,0,1,0,XQTrade,09:42:49,2026/09/08,
20,完全成交,B01SO,整股,現股買進,ROD,華邦電(2344),1,190.00,0,1,0,XQTrade,09:40:45,2026/09/08,
21,完全成交,B01NJ,整股,現股買進,ROD,華邦電(2344),1,190.00,0,1,0,XQTrade,09:33:04,2026/09/08,
22,完全成交,B01MT,整股,現股買進,ROD,華邦電(2344),1,189.50,0,1,0,XQTrade,09:32:21,2026/09/08,
23,委託取消,B01MN,整股,現股買進,ROD,華邦電(2344),1,189.00,1,0,0,XQTrade,09:32:11,2026/09/08,
24,完全成交,B018Z,整股,現沖賣出,ROD,南亞科(2408),1,535.00,0,1,0,XQTrade,09:17:30,2026/09/08,
25,完全成交,B017I,整股,現沖賣出,ROD,南亞科(2408),1,538.00,0,1,0,XQTrade,09:15:48,2026/09/08,
26,委託取消,B014P,整股,現股賣出,ROD,南亞科(2408),1,550.00,1,0,0,XQTrade,09:13:16,2026/09/08,
27,完全成交,B014F,整股,現股買進,ROD,南亞科(2408),1,537.00,0,1,0,XQTrade,09:13:06,2026/09/08,
28,委託取消,B00Z4,整股,現股賣出,ROD,南亞科(2408),1,544.00,1,0,0,XQTrade,09:08:47,2026/09/08,
29,完全成交,B00W8,整股,現股買進,ROD,南亞科(2408),1,533.00,0,1,0,XQTrade,09:06:58,2026/09/08,
30,委託失敗,00000,整股,融資買進,ROD,全新(2455),1,502.00,0,0,1,XQTrade,09:04:42,2026/09/08,
31,完全成交,B00DK,整股,融資賣出,ROD,友達(2409),5,29.15,0,5,0,XQTrade,08:55:13,2026/09/08,
32,完全成交,B00DI,整股,融資賣出,ROD,友達(2409),5,29.10,0,5,0,XQTrade,08:55:12,2026/09/08,
33,完全成交,B00DH,整股,融資賣出,ROD,友達(2409),5,29.05,0,5,0,XQTrade,08:55:11,2026/09/08,
34,完全成交,B00DG,整股,融資賣出,ROD,友達(2409),5,29.00,0,5,0,XQTrade,08:55:10,2026/09/08,
35,完全成交,B00DE,整股,融資賣出,ROD,友達(2409),5,28.95,0,5,0,XQTrade,08:55:09,2026/09/08,
36,完全成交,B00DC,整股,融資賣出,ROD,友達(2409),5,28.90,0,5,0,XQTrade,08:55:08,2026/09/08,
37,完全成交,B00DB,整股,融資賣出,ROD,友達(2409),5,28.85,0,5,0,XQTrade,08:55:07,2026/09/08,
38,完全成交,B00D9,整股,融資賣出,ROD,友達(2409),5,28.75,0,5,0,XQTrade,08:55:06,2026/09/08,
39,完全成交,B00DA,整股,融資賣出,ROD,友達(2409),5,28.80,0,5,0,XQTrade,08:55:06,2026/09/08,
40,完全成交,B00D6,整股,融資賣出,ROD,友達(2409),5,28.70,0,5,0,XQTrade,08:55:05,2026/09/08,
41,完全成交,B00CM,整股,融資賣出,ROD,力積電(6770),1,73.90,0,1,0,XQTrade,08:54:23,2026/09/08,
