成交時間,交易類別,委託條件,股票名稱,成交數量,成交單價,成交價金,盤別
12:53:53,現股買進,ROD,聯電(2303),2000,148.50,297000,整股
12:51:58,現股買進,ROD,力積電(6770),4000,71.90,287600,整股
12:40:37,現股買進,ROD,友達(2409),5000,30.30,151500,整股
12:38:00,現股買進,ROD,力積電(6770),4000,71.90,287600,整股
12:37:14,現股買進,ROD,力積電(6770),3000,71.50,214500,整股
12:37:14,現股買進,ROD,力積電(6770),1000,71.50,71500,整股
12:20:55,現股買進,ROD,友達(2409),5000,30.25,151250,整股
12:20:40,現股賣出,ROD,台積電(2330),1000,2430.00,2430000,整股
12:17:35,現股買進,ROD,聯電(2303),1000,147.50,147500,整股
12:14:52,現股賣出,ROD,台積電(2330),1000,2430.00,2430000,整股
12:10:24,現股買進,ROD,聯電(2303),1000,147.50,147500,整股
12:01:25,現股買進,ROD,聯電(2303),2000,149.00,298000,整股
11:52:34,現股買進,ROD,南亞(1303),1000,237.50,237500,整股
11:44:19,現股買進,ROD,台積電(2330),2000,2430.00,4860000,整股
10:29:09,現沖賣出,ROD,南亞(1303),1000,234.50,234500,整股
10:28:28,現沖賣出,ROD,南亞(1303),1000,235.00,235000,整股
10:18:32,現股賣出,ROD,緯創(3231),1000,186.50,186500,整股
10:17:45,現沖賣出,ROD,聯電(2303),2000,146.00,292000,整股
10:03:43,現沖賣出,ROD,聯電(2303),2000,146.50,293000,整股
09:57:30,現股買進,ROD,緯創(3231),1000,187.50,187500,整股
09:51:40,現股買進,ROD,南亞(1303),1000,237.00,237000,整股
09:48:11,現股買進,ROD,聯電(2303),2000,147.50,295000,整股
09:43:20,現股買進,ROD,聯電(2303),2000,147.00,294000,整股
09:40:21,現股賣出,ROD,南亞(1303),1000,238.50,238500,整股
09:34:35,現股買進,ROD,南亞(1303),1000,236.50,236500,整股
09:21:27,現股買進,ROD,南亞(1303),1000,231.00,231000,整股
09:06:13,融資賣出,ROD,聯電(2303),1000,145.00,145000,整股
09:02:04,融資賣出,ROD,力積電(6770),1000,71.40,71400,整股
09:01:40,融資賣出,ROD,嘉晶(3016),1000,117.00,117000,整股
09:01:28,融資賣出,ROD,友達(2409),2000,30.40,60800,整股
09:01:27,融資賣出,ROD,友達(2409),2000,30.40,60800,整股
09:01:08,融資賣出,ROD,友達(2409),4000,30.30,121200,整股
09:01:02,融資賣出,ROD,友達(2409),2000,30.20,60400,整股
09:01:02,融資賣出,ROD,友達(2409),2000,30.20,60400,整股
09:01:02,融資賣出,ROD,友達(2409),4000,30.10,120400,整股
09:01:02,融資賣出,ROD,友達(2409),4000,30.00,120000,整股
09:00:59,融資賣出,ROD,友達(2409),4000,29.90,119600,整股
09:00:49,融資賣出,ROD,友達(2409),4000,29.80,119200,整股
09:00:18,融資賣出,ROD,力積電(6770),1000,71.20,71200,整股
09:00:08,融資賣出,ROD,頎邦(6147),1000,212.50,212500,整股
09:00:07,融資賣出,ROD,前鼎(4908),1000,245.00,245000,整股
09:00:05,融資賣出,ROD,力積電(6770),1000,71.00,71000,整股
09:00:03,融資賣出,ROD,力積電(6770),1000,70.80,70800,整股
09:00:02,融資賣出,ROD,聯電(2303),1000,144.50,144500,整股
09:00:01,融資賣出,ROD,力積電(6770),1000,70.60,70600,整股
09:00:00,融資賣出,ROD,力積電(6770),1000,70.50,70500,整股
09:00:00,融資賣出,ROD,力積電(6770),1000,70.50,70500,整股
09:00:00,融資賣出,ROD,聯電(2303),1000,144.50,144500,整股
09:00:00,融資賣出,ROD,聯電(2303),1000,144.50,144500,整股
09:00:00,融資賣出,ROD,聯電(2303),1000,144.50,144500,整股
09:00:00,融資賣出,ROD,友達(2409),2000,29.75,59500,整股
09:00:00,融資賣出,ROD,友達(2409),1000,29.75,29750,整股
09:00:00,融資賣出,ROD,友達(2409),1000,29.75,29750,整股
09:00:00,融資賣出,ROD,友達(2409),4000,29.75,119000,整股
09:00:00,融資賣出,ROD,友達(2409),1000,29.75,29750,整股
09:00:00,融資賣出,ROD,友達(2409),2000,29.75,59500,整股
09:00:00,融資賣出,ROD,友達(2409),1000,29.75,29750,整股
09:00:00,融資賣出,ROD,穩懋(3105),1000,482.00,482000,整股
