股票名稱,成交日期,交易類別,成交股數,帳面收入,持有成本,損益,報酬率,明細,自設持有成本,設定,新持有成本
聯電(2303),2026/09/17,融資賣出,5000,296553,285135,11418,4.00%,,0,,0
友達(2409),2026/09/17,融資賣出,40000,498744,469966,28778,6.12%,,0,,0
嘉晶(3016),2026/09/17,融資賣出,1000,47604,46522,1082,2.33%,,0,,0
穩懋(3105),2026/09/17,融資賣出,1000,245384,236591,8793,3.72%,,0,,0
前鼎(4908),2026/09/17,融資賣出,1000,125179,120046,5133,4.28%,,0,,0
頎邦(6147),2026/09/17,融資賣出,1000,87781,83040,4741,5.71%,,0,,0
力積電(6770),2026/09/17,融資賣出,7000,203329,196891,6438,3.27%,,0,,0
南亞(1303),2026/09/17,現股互抵賣出,3000,706804,704637,2167,0.31%,,0,,0
緯創(3231),2026/09/17,現股互抵賣出,1000,186185,187536,-1351,-0.72%,,0,,0
聯電(2303),2026/09/17,現股互抵賣出,4000,584010,589114,-5104,-0.87%,,0,,0
台積電(2330),2026/09/17,現股互抵賣出,2000,4851764,4860947,-9183,-0.19%,,0,,0
