筆數,狀態,委託書號,盤別,交易類別,委託條件,股票名稱,原委託,價格,取消,成交,剩餘,來源別,委託時間,有效日期,詳細
1,委託成功,B03M9,整股,融資買進,ROD,聯發科(2454),1,4415.00,0,0,1,XQTrade,13:27:44,2026/09/17,
2,已刪除,B03LQ,整股,融資買進,ROD,聯發科(2454),1,4310.00,1,0,0,XQTrade,13:26:25,2026/09/17,
3,委託成功,B03AJ,整股,現股賣出,ROD,力積電(6770),1,75.00,0,0,1,XQTrade,12:52:15,2026/09/17,
4,委託成功,B03AI,整股,現股賣出,ROD,力積電(6770),1,74.80,0,0,1,XQTrade,12:52:14,2026/09/17,
5,委託成功,B03AH,整股,現股賣出,ROD,力積電(6770),1,74.60,0,0,1,XQTrade,12:52:12,2026/09/17,
6,委託成功,B03AG,整股,現股賣出,ROD,力積電(6770),1,74.40,0,0,1,XQTrade,12:52:10,2026/09/17,
7,完全成交,B03AA,整股,現股買進,ROD,力積電(6770),4,71.90,0,4,0,XQTrade,12:51:47,2026/09/17,
8,完全成交,B0398,整股,現股買進,ROD,聯電(2303),2,148.50,0,2,0,XQTrade,12:47:19,2026/09/17,
9,委託成功,B036V,整股,現股賣出,ROD,力積電(6770),1,74.20,0,0,1,XQTrade,12:38:09,2026/09/17,
10,委託成功,B036U,整股,現股賣出,ROD,力積電(6770),1,74.00,0,0,1,XQTrade,12:38:05,2026/09/17,
11,委託成功,B036S,整股,現股賣出,ROD,力積電(6770),1,73.80,0,0,1,XQTrade,12:38:03,2026/09/17,
12,委託成功,B036R,整股,現股賣出,ROD,力積電(6770),1,73.60,0,0,1,XQTrade,12:38:00,2026/09/17,
13,委託成功,B036Q,整股,現股賣出,ROD,力積電(6770),1,73.40,0,0,1,XQTrade,12:37:58,2026/09/17,
14,完全成交,B036O,整股,現股買進,ROD,力積電(6770),4,71.90,0,4,0,XQTrade,12:37:54,2026/09/17,
15,完全成交,B036K,整股,現股買進,ROD,友達(2409),5,30.30,0,5,0,XQTrade,12:37:36,2026/09/17,
16,委託成功,B036J,整股,現股賣出,ROD,力積電(6770),1,73.20,0,0,1,XQTrade,12:37:35,2026/09/17,
17,委託成功,B036H,整股,現股賣出,ROD,力積電(6770),1,73.00,0,0,1,XQTrade,12:37:33,2026/09/17,
18,委託成功,B036G,整股,現股賣出,ROD,力積電(6770),1,72.80,0,0,1,XQTrade,12:37:31,2026/09/17,
19,完全成交,B036B,整股,現股買進,ROD,力積電(6770),4,71.50,0,4,0,XQTrade,12:37:14,2026/09/17,
20,委託成功,B033O,整股,現股買進,ROD,力積電(6770),3,70.80,0,0,3,XQTrade,12:24:52,2026/09/17,
21,完全成交,B032I,整股,現股買進,ROD,友達(2409),5,30.25,0,5,0,XQTrade,12:20:10,2026/09/17,
22,完全成交,B032G,整股,現股賣出,ROD,台積電(2330),1,2430.00,0,1,0,XQTrade,12:19:49,2026/09/17,
23,已刪除,B032A,整股,現股賣出,ROD,台積電(2330),1,2430.00,1,0,0,XQTrade,12:19:07,2026/09/17,
24,已刪除,B031U,整股,現股賣出,ROD,台積電(2330),1,2430.00,1,0,0,XQTrade,12:17:39,2026/09/17,
25,已刪除,B031G,整股,現股賣出,ROD,台積電(2330),1,2430.00,1,0,0,XQTrade,12:15:02,2026/09/17,
26,完全成交,B0312,整股,現股買進,ROD,聯電(2303),1,147.50,0,1,0,XQTrade,12:12:12,2026/09/17,
27,已刪除,B02ZY,整股,現股賣出,ROD,台積電(2330),1,2430.00,1,0,0,XQTrade,12:05:00,2026/09/17,
28,完全成交,B02ZX,整股,現股賣出,ROD,台積電(2330),1,2430.00,0,1,0,XQTrade,12:04:51,2026/09/17,
29,完全成交,B02YQ,整股,現股買進,ROD,聯電(2303),2,149.00,0,2,0,XQTrade,11:57:45,2026/09/17,
30,委託成功,B02XT,整股,現股賣出,ROD,南亞(1303),1,242.00,0,0,1,XQTrade,11:53:32,2026/09/17,
31,完全成交,B02XN,整股,現股買進,ROD,南亞(1303),1,237.50,0,1,0,XQTrade,11:52:24,2026/09/17,
32,完全成交,B02WY,整股,現股買進,ROD,聯電(2303),1,147.50,0,1,0,XQTrade,11:49:15,2026/09/17,
33,已刪除,B02WX,整股,現股買進,ROD,南亞(1303),1,236.50,1,0,0,XQTrade,11:49:07,2026/09/17,
34,已刪除,B02WS,整股,現股賣出,ROD,台積電(2330),1,2435.00,1,0,0,XQTrade,11:48:20,2026/09/17,
35,已刪除,B02WR,整股,現股賣出,ROD,台積電(2330),1,2435.00,1,0,0,XQTrade,11:48:16,2026/09/17,
36,已刪除,B02W0,整股,現股賣出,ROD,台積電(2330),2,2435.00,2,0,0,XQTrade,11:44:27,2026/09/17,
37,完全成交,B02VX,整股,現股買進,ROD,台積電(2330),2,2430.00,0,2,0,XQTrade,11:44:19,2026/09/17,
38,已刪除,B02VS,整股,現股買進,ROD,聯電(2303),1,146.50,1,0,0,XQTrade,11:43:27,2026/09/17,
39,已刪除,B02L1,整股,現股買進,ROD,緯創(3231),1,187.50,1,0,0,XQTrade,10:49:56,2026/09/17,
40,完全成交,B02D7,整股,現沖賣出,ROD,南亞(1303),1,234.50,0,1,0,XQTrade,10:29:04,2026/09/17,
41,完全成交,B02CV,整股,現沖賣出,ROD,南亞(1303),1,235.00,0,1,0,XQTrade,10:28:28,2026/09/17,
42,完全成交,B0282,整股,現股賣出,ROD,緯創(3231),1,186.50,0,1,0,XQTrade,10:18:32,2026/09/17,
43,完全成交,B027D,整股,現沖賣出,ROD,聯電(2303),2,146.00,0,2,0,XQTrade,10:17:45,2026/09/17,
44,完全成交,B020H,整股,現沖賣出,ROD,聯電(2303),2,146.50,0,2,0,XQTrade,10:03:43,2026/09/17,
45,完全成交,B01WP,整股,現股買進,ROD,緯創(3231),1,187.50,0,1,0,XQTrade,09:55:27,2026/09/17,
46,已刪除,B01WL,整股,現股買進,ROD,緯創(3231),1,187.00,1,0,0,XQTrade,09:55:24,2026/09/17,
47,已刪除,B01UQ,整股,現股賣出,ROD,南亞(1303),1,244.50,1,0,0,XQTrade,09:52:02,2026/09/17,
48,完全成交,B01U5,整股,現股買進,ROD,南亞(1303),1,237.00,0,1,0,XQTrade,09:51:25,2026/09/17,
49,已刪除,B01TN,整股,現股買進,ROD,南亞(1303),1,236.50,1,0,0,XQTrade,09:50:26,2026/09/17,
50,完全成交,B01SA,整股,現股買進,ROD,聯電(2303),2,147.50,0,2,0,XQTrade,09:47:57,2026/09/17,
51,完全成交,B01KW,整股,現股買進,ROD,聯電(2303),2,147.00,0,2,0,XQTrade,09:35:56,2026/09/17,
52,已刪除,B01K8,整股,現股賣出,ROD,南亞(1303),1,241.50,1,0,0,XQTrade,09:34:45,2026/09/17,
