open,high,low,close,change_price,change_rate,average_price,volume,total_volume,amount,total_amount,yesterday_volume,volume_ratio,date,stock_id,name,buy_price,buy_volume,sell_price,sell_volume,TickType
47142.74,47548.26,47060.78,47133.14,27.36,0.05,0.0,0,8835857,0,724522967030,9395579,0.94,2026-09-09 13:30:00,001,加權指數,,,,,
410.11,413.99,405.51,407.58,0.39,0.09,0.0,0,1874318,0,206543758610,1965960,0.95,2026-09-09 13:30:00,101,櫃檯買賣發行量加權股價指數,,,,,
234.5,244.5,231.0,236.5,1.5,0.63,238.87,2311,66816,546551500,15960877500,64421,1.04,2026-09-09 13:30:00.000000,1303,,236.0,297.0,236.5,61.0,1.0
141.0,144.5,137.0,141.5,4.5,3.28,141.08,8873,267948,1255529500,37802574500,215446,1.24,2026-09-09 13:30:00.000000,2303,,141.0,1425.0,141.5,441.0,1.0
336.5,344.0,335.0,342.0,14.0,4.26,340.76,2509,25822,858078000,8799179500,33850,0.76,2026-09-09 13:30:00.000000,2382,,341.5,9.0,342.0,155.0,1.0
3085.0,3150.0,2820.0,2850.0,-15.0,-0.52,2988.36,165,4728,470250000,14128995000,3767,1.26,2026-09-09 13:30:00.000000,3081,,2850.0,24.0,2855.0,16.0,1.0
471.0,487.0,471.0,478.5,3.5,0.73,480.38,104,2339,49764000,1123629500,3385,0.69,2026-09-09 13:30:00.000000,3374,,478.5,10.0,479.0,5.0,1.0
621.0,645.0,621.0,640.0,22.0,3.55,636.66,1501,21438,960640000,13648891000,12814,1.67,2026-09-09 13:30:00.000000,3711,,639.0,22.0,640.0,257.0,1.0
2130.0,2230.0,2035.0,2080.0,45.0,2.21,2132.74,1,680,2080000,1450265000,701,0.97,2026-09-09 13:24:36.243975,7828,,2080.0,1.0,2085.0,4.0,2.0
