筆數,狀態,委託書號,盤別,交易類別,委託條件,股票名稱,原委託,價格,取消,成交,剩餘,來源別,委託時間,有效日期,詳細
1,委託成功,B02OS,整股,現股買進,ROD,聯亞(3081),1,2680.00,0,0,1,XQTrade,11:34:17,2026/09/09,
2,委託成功,B02L5,整股,現股賣出,ROD,聯電(2303),1,147.50,0,0,1,XQTrade,11:17:19,2026/09/09,
3,委託成功,B02L4,整股,現股賣出,ROD,聯電(2303),1,147.00,0,0,1,XQTrade,11:17:17,2026/09/09,
4,完全成交,B02KU,整股,現股買進,ROD,聯電(2303),2,144.00,0,2,0,XQTrade,11:16:05,2026/09/09,
5,委託成功,B02KA,整股,現股賣出,ROD,聯電(2303),1,150.00,0,0,1,XQTrade,11:14:52,2026/09/09,
6,委託成功,B02K0,整股,現股賣出,ROD,聯電(2303),1,149.50,0,0,1,XQTrade,11:14:18,2026/09/09,
7,完全成交,B02JE,整股,現股買進,ROD,聯電(2303),1,143.50,0,1,0,XQTrade,11:11:59,2026/09/09,
8,委託成功,B02IZ,整股,現股賣出,ROD,聯電(2303),1,149.00,0,0,1,XQTrade,11:10:33,2026/09/09,
9,委託成功,B02IY,整股,現股賣出,ROD,聯電(2303),1,148.50,0,0,1,XQTrade,11:10:32,2026/09/09,
10,完全成交,B02I2,整股,現股買進,ROD,聯電(2303),2,143.00,0,2,0,XQTrade,11:08:07,2026/09/09,
11,委託成功,B02GI,整股,現股賣出,ROD,聯電(2303),1,148.00,0,0,1,XQTrade,11:01:03,2026/09/09,
12,完全成交,B02G5,整股,現股買進,ROD,聯電(2303),1,142.50,0,1,0,XQTrade,10:59:22,2026/09/09,
13,完全成交,B02FX,整股,現股買進,ROD,聯電(2303),1,142.00,0,1,0,XQTrade,10:58:17,2026/09/09,
14,委託成功,B02EV,整股,現股賣出,ROD,聯電(2303),1,147.50,0,0,1,XQTrade,10:52:26,2026/09/09,
15,完全成交,B02E9,整股,現股買進,ROD,日月光投控(3711),1,637.00,0,1,0,XQTrade,10:49:58,2026/09/09,
16,已刪除,B02DK,整股,現股買進,ROD,日月光投控(3711),1,636.00,1,0,0,XQTrade,10:46:01,2026/09/09,
17,委託成功,B02DF,整股,現股賣出,ROD,聯電(2303),1,147.00,0,0,1,XQTrade,10:45:32,2026/09/09,
18,委託成功,B02DE,整股,現股賣出,ROD,聯電(2303),1,146.50,0,0,1,XQTrade,10:45:31,2026/09/09,
19,已刪除,B02D2,整股,現股買進,ROD,日月光投控(3711),1,635.00,1,0,0,XQTrade,10:44:12,2026/09/09,
20,委託成功,B02CC,整股,現股賣出,ROD,聯電(2303),1,146.00,0,0,1,XQTrade,10:42:17,2026/09/09,
21,委託成功,B02CB,整股,現股賣出,ROD,聯電(2303),1,145.50,0,0,1,XQTrade,10:42:16,2026/09/09,
22,委託成功,B02CA,整股,現股賣出,ROD,聯電(2303),1,145.00,0,0,1,XQTrade,10:42:12,2026/09/09,
23,完全成交,B02C6,整股,現股買進,ROD,聯電(2303),1,143.00,0,1,0,XQTrade,10:41:53,2026/09/09,
24,完全成交,B02BN,整股,現股買進,ROD,聯電(2303),2,142.00,0,2,0,XQTrade,10:39:40,2026/09/09,
25,完全成交,B02BC,整股,現股買進,ROD,聯電(2303),1,141.50,0,1,0,XQTrade,10:38:54,2026/09/09,
26,完全成交,B02AP,整股,現股買進,ROD,聯電(2303),2,141.00,0,2,0,XQTrade,10:37:00,2026/09/09,
27,完全成交,B028G,整股,現股買進,ROD,廣達(2382),1,341.00,0,1,0,XQTrade,10:28:42,2026/09/09,
28,已刪除,R000P,整股,融資買進,ROD,精材(3374),1,485.50,1,0,0,XQTrade,10:09:46,2026/09/09,
29,完全成交,B0208,整股,現股賣出,ROD,廣達(2382),1,339.50,0,1,0,XQTrade,10:01:29,2026/09/09,
30,已刪除,B01ZQ,整股,現股賣出,ROD,廣達(2382),1,340.00,1,0,0,XQTrade,10:00:46,2026/09/09,
31,完全成交,B01TL,整股,現股買進,ROD,廣達(2382),1,341.00,0,1,0,XQTrade,09:47:53,2026/09/09,
32,完全成交,B01BM,整股,現股賣出,ROD,創新服務(7828),1,2180.00,0,1,0,XQTrade,09:22:11,2026/09/09,
33,已刪除,B0184,整股,現股賣出,ROD,創新服務(7828),1,2225.00,1,0,0,XQTrade,09:18:15,2026/09/09,
34,已刪除,B0106,整股,現股賣出,ROD,創新服務(7828),1,2220.00,1,0,0,XQTrade,09:11:02,2026/09/09,
35,已刪除,B00Z0,整股,現股買進,ROD,創新服務(7828),2,2235.00,2,0,0,XQTrade,09:10:18,2026/09/09,
36,已刪除,B00YX,整股,現股買進,ROD,創新服務(7828),2,2235.00,2,0,0,XQTrade,09:10:16,2026/09/09,
37,完全成交,B00HT,整股,現股賣出,ROD,南亞(1303),1,235.00,0,1,0,XQTrade,09:00:32,2026/09/09,
38,已刪除,B00C7,整股,現股買進,ROD,創新服務(7828),1,2235.00,1,0,0,XQTrade,08:54:15,2026/09/09,
39,已刪除,B0093,整股,現股賣出,ROD,創新服務(7828),1,2195.00,1,0,0,XQTrade,08:46:35,2026/09/09,
40,已刪除,B007N,整股,現股買進,ROD,創新服務(7828),2,2235.00,2,0,0,XQTrade,08:41:09,2026/09/09,
41,已刪除,B007L,整股,現股買進,ROD,創新服務(7828),2,2235.00,2,0,0,XQTrade,08:41:08,2026/09/09,
42,已刪除,B005M,整股,現股賣出,ROD,南亞(1303),1,237.00,1,0,0,XQTrade,08:33:35,2026/09/09,
