成交時間,交易類別,委託條件,股票名稱,成交數量,成交單價,成交價金,盤別
11:16:56,現股買進,ROD,聯電(2303),1000,144.00,144000,整股
11:16:56,現股買進,ROD,聯電(2303),1000,144.00,144000,整股
11:14:06,現股買進,ROD,聯電(2303),1000,143.50,143500,整股
11:09:49,現股買進,ROD,聯電(2303),1000,143.00,143000,整股
11:09:49,現股買進,ROD,聯電(2303),1000,143.00,143000,整股
11:07:22,現股買進,ROD,聯電(2303),1000,142.00,142000,整股
11:00:14,現股買進,ROD,聯電(2303),1000,142.50,142500,整股
10:52:19,現股買進,ROD,聯電(2303),1000,141.50,141500,整股
10:51:01,現股買進,ROD,日月光投控(3711),1000,637.00,637000,整股
10:45:18,現股買進,ROD,聯電(2303),1000,142.00,142000,整股
10:45:16,現股買進,ROD,聯電(2303),1000,142.00,142000,整股
10:41:59,現股買進,ROD,聯電(2303),1000,143.00,143000,整股
10:38:12,現股買進,ROD,聯電(2303),2000,141.00,282000,整股
10:28:47,現股買進,ROD,廣達(2382),1000,341.00,341000,整股
10:01:29,現股賣出,ROD,廣達(2382),1000,339.50,339500,整股
09:49:14,現股買進,ROD,廣達(2382),1000,341.00,341000,整股
09:22:11,現股賣出,ROD,創新服務(7828),1000,2180.00,2180000,整股
09:00:32,現股賣出,ROD,南亞(1303),1000,235.50,235500,整股
