筆數,狀態,委託書號,盤別,交易類別,委託條件,股票名稱,原委託,價格,取消,成交,剩餘,來源別,委託時間,有效日期,詳細
1,委託成功,B039Q,整股,現股買進,ROD,力積電(6770),1,73.60,0,0,1,XQTrade,13:25:44,2026/09/10,
2,完全成交,B035N,整股,現股買進,ROD,禾伸堂(3026),1,800.00,0,1,0,XQTrade,13:13:50,2026/09/10,
3,已刪除,B035E,整股,現股買進,ROD,禾伸堂(3026),1,782.00,1,0,0,XQTrade,13:13:04,2026/09/10,
4,完全成交,B0335,整股,現股買進,ROD,力積電(6770),3,74.10,0,3,0,XQTrade,13:05:25,2026/09/10,
5,完全成交,B032G,整股,現股買進,ROD,友達(2409),5,31.35,0,5,0,XQTrade,13:04:07,2026/09/10,
6,完全成交,B032E,整股,現股買進,ROD,友達(2409),5,31.35,0,5,0,XQTrade,13:04:05,2026/09/10,
7,完全成交,B0329,整股,現股買進,ROD,友達(2409),5,31.20,0,5,0,XQTrade,13:03:51,2026/09/10,
8,委託成功,B0311,整股,現股買進,ROD,信昌電(6173),2,292.00,0,0,2,XQTrade,13:00:33,2026/09/10,
9,完全成交,B030P,整股,現股買進,ROD,友達(2409),5,31.10,0,5,0,XQTrade,12:59:24,2026/09/10,
10,完全成交,B030G,整股,現股買進,ROD,力積電(6770),1,73.90,0,1,0,XQTrade,12:58:34,2026/09/10,
11,完全成交,B02ZN,整股,現股買進,ROD,力積電(6770),3,73.80,0,3,0,XQTrade,12:55:20,2026/09/10,
12,已刪除,B02XV,整股,現股買進,ROD,禾伸堂(3026),1,790.00,1,0,0,XQTrade,12:49:57,2026/09/10,
13,完全成交,B02XR,整股,現股買進,ROD,力積電(6770),1,73.30,0,1,0,XQTrade,12:49:07,2026/09/10,
14,完全成交,B02V5,整股,現股買進,ROD,南亞(1303),1,243.50,0,1,0,XQTrade,12:39:23,2026/09/10,
15,完全成交,B02SY,整股,現股買進,ROD,力積電(6770),2,73.30,0,2,0,XQTrade,12:31:37,2026/09/10,
16,完全成交,B02PZ,整股,現股買進,ROD,力積電(6770),1,73.20,0,1,0,XQTrade,12:17:55,2026/09/10,
