股票名稱,成交日期,交易類別,成交股數,帳面收入,持有成本,損益,報酬率,明細,自設持有成本,設定,新持有成本
聯電(2303),2026/09/10,融資賣出,13000,749188,745854,3334,0.45%,,0,,0
日月光投控(3711),2026/09/10,融資賣出,1000,258820,255124,3696,1.45%,,0,,0
廣達(2382),2026/09/10,融資賣出,1000,128368,137066,-8698,-6.35%,,0,,0
台積電(2330),2026/09/10,現股互抵賣出,2000,4891695,4890953,742,0.02%,,0,,0
聯電(2303),2026/09/10,現股互抵賣出,3000,426778,430081,-3303,-0.77%,,0,,0
