成交時間,交易類別,委託條件,股票名稱,成交數量,成交單價,成交價金,盤別
12:53:33,現股買進,ROD,力積電(6770),2000,73.40,146800,整股
12:49:28,現股買進,ROD,聯發科(2454),1000,5200.00,5200000,整股
12:48:16,現股買進,ROD,友達(2409),5000,35.15,175750,整股
12:25:39,現股買進,ROD,友達(2409),1000,35.50,35500,整股
12:25:38,現股買進,ROD,友達(2409),1000,35.50,35500,整股
12:25:38,現股買進,ROD,友達(2409),1000,35.50,35500,整股
12:25:38,現股買進,ROD,友達(2409),1000,35.50,35500,整股
12:25:38,現股買進,ROD,友達(2409),1000,35.50,35500,整股
12:09:07,現股買進,ROD,力積電(6770),2000,73.40,146800,整股
12:08:31,現股買進,ROD,南亞科(2408),1000,519.00,519000,整股
10:47:41,現股賣出,ROD,力積電(6770),4000,73.40,293600,整股
10:47:21,現沖賣出,ROD,南亞科(2408),1000,520.00,520000,整股
10:47:21,現沖賣出,ROD,南亞科(2408),1000,520.00,520000,整股
10:44:29,現股賣出,ROD,聯電(2303),1000,160.50,160500,整股
10:43:32,現股賣出,ROD,鴻海(2317),1000,256.00,256000,整股
10:19:37,現股買進,ROD,力積電(6770),2000,73.90,147800,整股
10:09:25,現股買進,ROD,聯電(2303),1000,161.50,161500,整股
10:00:25,現股買進,ROD,力積電(6770),2000,73.90,147800,整股
09:44:46,現股賣出,ROD,國巨*(2327),1000,582.00,582000,整股
09:35:12,現股買進,ROD,國巨*(2327),1000,586.00,586000,整股
09:33:37,現股買進,ROD,鴻海(2317),1000,256.00,256000,整股
09:33:19,現沖賣出,ROD,群創(3481),1000,50.40,50400,整股
09:33:19,現沖賣出,ROD,群創(3481),1000,50.40,50400,整股
09:33:19,現沖賣出,ROD,群創(3481),2000,50.40,100800,整股
09:33:19,現沖賣出,ROD,群創(3481),1000,50.40,50400,整股
09:32:36,現股買進,ROD,南亞科(2408),1000,523.00,523000,整股
09:20:33,現股買進,ROD,南亞科(2408),1000,519.00,519000,整股
09:07:33,現股賣出,ROD,群創(3481),1000,51.70,51700,整股
09:07:17,現股賣出,ROD,群創(3481),1000,51.60,51600,整股
09:07:11,現股賣出,ROD,群創(3481),1000,51.50,51500,整股
09:07:07,現股賣出,ROD,群創(3481),1000,51.40,51400,整股
09:07:01,現股賣出,ROD,群創(3481),1000,51.30,51300,整股
09:06:34,現股賣出,ROD,群創(3481),1000,51.20,51200,整股
09:06:31,現股賣出,ROD,群創(3481),1000,51.10,51100,整股
09:06:30,現股買進,ROD,群創(3481),1000,50.90,50900,整股
09:06:30,現股買進,ROD,群創(3481),1000,50.90,50900,整股
09:06:30,現股買進,ROD,群創(3481),1000,50.90,50900,整股
09:06:30,現股買進,ROD,群創(3481),1000,50.90,50900,整股
09:00:01,現股賣出,ROD,國巨*(2327),1000,581.00,581000,整股
