筆數,狀態,委託書號,盤別,交易類別,委託條件,股票名稱,原委託,價格,取消,成交,剩餘,來源別,委託時間,有效日期,詳細
1,委託成功,B03GL,整股,現股賣出,ROD,聯發科(2454),1,5220.00,0,0,1,XQTrade,13:25:32,2026/09/23,
2,完全成交,B037M,整股,現股買進,ROD,聯發科(2454),1,5200.00,0,1,0,XQTrade,12:49:28,2026/09/23,
3,完全成交,B037D,整股,現股買進,ROD,力積電(6770),2,73.40,0,2,0,XQTrade,12:49:01,2026/09/23,
4,完全成交,B037B,整股,現股買進,ROD,友達(2409),5,35.15,0,5,0,XQTrade,12:48:16,2026/09/23,
5,完全成交,B032K,整股,現股買進,ROD,友達(2409),5,35.50,0,5,0,XQTrade,12:25:34,2026/09/23,
6,完全成交,B02ZK,整股,現股買進,ROD,力積電(6770),2,73.40,0,2,0,XQTrade,12:08:34,2026/09/23,
7,完全成交,B02ZJ,整股,現股買進,ROD,南亞科(2408),1,519.00,0,1,0,XQTrade,12:08:31,2026/09/23,
8,完全成交,B02FR,整股,現股賣出,ROD,力積電(6770),4,73.40,0,4,0,XQTrade,10:47:40,2026/09/23,
9,完全成交,B02FO,整股,現沖賣出,ROD,南亞科(2408),2,520.00,0,2,0,XQTrade,10:47:21,2026/09/23,
10,完全成交,B02EC,整股,現股賣出,ROD,鴻海(2317),1,256.00,0,1,0,XQTrade,10:43:09,2026/09/23,
11,完全成交,B02DW,整股,現股賣出,ROD,聯電(2303),1,160.50,0,1,0,XQTrade,10:41:45,2026/09/23,
12,委託取消,B0293,整股,現股買進,ROD,鴻海(2317),1,256.00,1,0,0,XQTrade,10:26:40,2026/09/23,
13,完全成交,B026F,整股,現股買進,ROD,力積電(6770),2,73.90,0,2,0,XQTrade,10:19:37,2026/09/23,
14,完全成交,B021T,整股,現股買進,ROD,聯電(2303),1,161.50,0,1,0,XQTrade,10:06:50,2026/09/23,
15,完全成交,B01Z8,整股,現股買進,ROD,力積電(6770),2,73.90,0,2,0,XQTrade,10:00:23,2026/09/23,
16,委託取消,B01XS,整股,現股買進,ROD,聯電(2303),1,159.00,1,0,0,XQTrade,09:57:28,2026/09/23,
17,委託取消,B01US,整股,現股賣出,ROD,南亞科(2408),1,538.00,1,0,0,XQTrade,09:50:58,2026/09/23,
18,委託取消,B01UO,整股,現股賣出,ROD,南亞科(2408),1,532.00,1,0,0,XQTrade,09:50:45,2026/09/23,
19,完全成交,B01S5,整股,現股賣出,ROD,國巨*(2327),1,582.00,0,1,0,XQTrade,09:44:46,2026/09/23,
20,完全成交,B01MZ,整股,現股買進,ROD,國巨*(2327),1,586.00,0,1,0,XQTrade,09:34:47,2026/09/23,
21,完全成交,B01M4,整股,現沖賣出,ROD,群創(3481),5,50.40,0,5,0,XQTrade,09:33:19,2026/09/23,
22,委託取消,B01KG,整股,現股賣出,ROD,南亞科(2408),1,532.00,1,0,0,XQTrade,09:30:54,2026/09/23,
23,完全成交,B01K0,整股,現股買進,ROD,鴻海(2317),1,256.00,0,1,0,XQTrade,09:30:15,2026/09/23,
24,完全成交,B01JQ,整股,現股買進,ROD,南亞科(2408),1,523.00,0,1,0,XQTrade,09:29:41,2026/09/23,
25,完全成交,B01BV,整股,現股買進,ROD,南亞科(2408),1,519.00,0,1,0,XQTrade,09:20:09,2026/09/23,
26,委託取消,B00W1,整股,現股賣出,ROD,群創(3481),1,52.10,1,0,0,XQTrade,09:07:52,2026/09/23,
27,委託取消,B00T8,整股,現股賣出,ROD,群創(3481),1,52.10,1,0,0,XQTrade,09:06:40,2026/09/23,
28,委託取消,B00T5,整股,現股賣出,ROD,群創(3481),1,52.00,1,0,0,XQTrade,09:06:38,2026/09/23,
29,委託取消,B00T2,整股,現股賣出,ROD,群創(3481),1,51.90,1,0,0,XQTrade,09:06:37,2026/09/23,
