筆數,狀態,委託書號,盤別,交易類別,委託條件,股票名稱,原委託,價格,取消,成交,剩餘,來源別,委託時間,有效日期,詳細
30,完全成交,B00SL,整股,現股買進,ROD,群創(3481),4,50.90,0,4,0,XQTrade,09:06:19,2026/09/23,
31,委託取消,B00IK,整股,現股賣出,ROD,群創(3481),1,51.80,1,0,0,XQTrade,09:01:17,2026/09/23,
32,完全成交,B00II,整股,現股賣出,ROD,群創(3481),1,51.70,0,1,0,XQTrade,09:01:16,2026/09/23,
33,完全成交,B00IH,整股,現股賣出,ROD,群創(3481),1,51.60,0,1,0,XQTrade,09:01:14,2026/09/23,
34,完全成交,B00ID,整股,現股賣出,ROD,群創(3481),1,51.50,0,1,0,XQTrade,09:01:13,2026/09/23,
35,完全成交,B00IB,整股,現股賣出,ROD,群創(3481),1,51.40,0,1,0,XQTrade,09:01:11,2026/09/23,
36,完全成交,B00I9,整股,現股賣出,ROD,群創(3481),1,51.30,0,1,0,XQTrade,09:01:09,2026/09/23,
37,完全成交,B00I8,整股,現股賣出,ROD,群創(3481),1,51.20,0,1,0,XQTrade,09:01:08,2026/09/23,
38,完全成交,B00I1,整股,現股賣出,ROD,群創(3481),1,51.10,0,1,0,XQTrade,09:01:01,2026/09/23,
39,委託取消,B00E7,整股,現股買進,ROD,台積電(2330),2,2470.00,2,0,0,XQTrade,08:57:58,2026/09/23,
40,委託取消,B004F,整股,現股賣出,ROD,群創(3481),1,51.80,1,0,0,XQTrade,08:31:14,2026/09/23,
41,委託取消,B004E,整股,現股賣出,ROD,群創(3481),1,51.70,1,0,0,XQTrade,08:31:13,2026/09/23,
42,委託取消,B004D,整股,現股賣出,ROD,群創(3481),1,51.60,1,0,0,XQTrade,08:31:12,2026/09/23,
43,委託取消,B004B,整股,現股賣出,ROD,群創(3481),1,51.40,1,0,0,XQTrade,08:31:11,2026/09/23,
44,委託取消,B004C,整股,現股賣出,ROD,群創(3481),1,51.50,1,0,0,XQTrade,08:31:11,2026/09/23,
45,委託取消,B004A,整股,現股賣出,ROD,群創(3481),1,51.30,1,0,0,XQTrade,08:31:10,2026/09/23,
46,委託取消,B0049,整股,現股賣出,ROD,群創(3481),1,51.20,1,0,0,XQTrade,08:31:09,2026/09/23,
47,委託取消,B0048,整股,現股賣出,ROD,群創(3481),1,51.10,1,0,0,XQTrade,08:31:08,2026/09/23,
48,完全成交,B0046,整股,現股賣出,ROD,國巨*(2327),1,577.00,0,1,0,XQTrade,08:30:50,2026/09/23,
