成交日期,股票名稱,交易類別,成交股數,成交價格,成交價金,手續費,交易稅,應收付金額,融資自備款/融券擔保品,融資金額/融券保證金,債息/利息,融券手續費/標借費用
2026/09/23,聯電(2303),現沖買進,1000,161.50,161500,31,0,-161531,0,0,0,0
2026/09/23,聯電(2303),現沖賣出,1000,160.50,160500,31,240,160229,0,0,0,0
2026/09/23,鴻海(2317),現沖買進,1000,256.00,256000,49,0,-256049,0,0,0,0
2026/09/23,鴻海(2317),現沖賣出,1000,256.00,256000,49,384,255567,0,0,0,0
2026/09/23,國巨*(2327),現沖買進,1000,586.00,586000,114,0,-586114,0,0,0,0
2026/09/23,國巨*(2327),現沖賣出,1000,582.00,582000,113,873,581014,0,0,0,0
2026/09/23,國巨*(2327),現股賣出,1000,581.00,581000,113,1743,579144,0,0,0,0
2026/09/23,南亞科(2408),現沖買進,1000,519.00,519000,101,0,-519101,0,0,0,0
2026/09/23,南亞科(2408),現沖買進,1000,519.00,519000,101,0,-519101,0,0,0,0
2026/09/23,南亞科(2408),現沖賣出,2000,520.00,1040000,202,1560,1038238,0,0,0,0
2026/09/23,南亞科(2408),現股買進,1000,523.00,523000,101,0,-523101,0,0,0,0
2026/09/23,友達(2409),現股買進,5000,35.50,177500,34,0,-177534,0,0,0,0
2026/09/23,友達(2409),現股買進,5000,35.15,175750,34,0,-175784,0,0,0,0
2026/09/23,聯發科(2454),現股買進,1000,5200.00,5200000,1014,0,-5201014,0,0,0,0
2026/09/23,群創(3481),現沖買進,4000,50.90,203600,39,0,-203639,0,0,0,0
2026/09/23,群創(3481),現沖賣出,1000,51.40,51400,10,77,51313,0,0,0,0
2026/09/23,群創(3481),現沖賣出,1000,51.50,51500,10,77,51413,0,0,0,0
2026/09/23,群創(3481),現沖賣出,1000,51.60,51600,10,77,51513,0,0,0,0
2026/09/23,群創(3481),現沖賣出,1000,51.70,51700,10,77,51613,0,0,0,0
2026/09/23,群創(3481),現股賣出,1000,51.10,51100,9,153,50938,0,0,0,0
2026/09/23,群創(3481),現股賣出,1000,51.20,51200,9,153,51038,0,0,0,0
2026/09/23,群創(3481),現股賣出,1000,51.30,51300,10,153,51137,0,0,0,0
2026/09/23,群創(3481),現股賣出,5000,50.40,252000,49,756,251195,0,0,0,0
2026/09/23,力積電(6770),現沖買進,2000,73.40,146800,28,0,-146828,0,0,0,0
2026/09/23,力積電(6770),現沖買進,2000,73.40,146800,28,0,-146828,0,0,0,0
2026/09/23,力積電(6770),現沖賣出,4000,73.40,293600,57,440,293103,0,0,0,0
2026/09/23,力積電(6770),現股買進,2000,73.90,147800,28,0,-147828,0,0,0,0
2026/09/23,力積電(6770),現股買進,2000,73.90,147800,28,0,-147828,0,0,0,0
 ,小計,,,,12435450,2412,6763,-5394825,0,0,0,0
