lots,avg,name,sid,c10,c11,o11,lo11,chg_pct,notional,pnl_vs_avg,pnl_overnight,pnl_gap
20,31.29,友達,2409,31.2,,,,,625800,,,
16,73.35,力積電,6770,73.5,,,,,1173600,,,
2,242.25,南亞,1303,244.0,,,,,484500,,,
1,800.0,禾伸堂,3026,803.0,,,,,800000,,,
1,313.0,晶豪科,3006,312.0,,,,,313000,,,
3,144.0,聯電,2303,142.5,,,,,432000,,,
1,644.0,日月光投控,3711,650.0,,,,,644000,,,
