筆數,狀態,委託書號,盤別,交易類別,委託條件,股票名稱,原委託,價格,取消,成交,剩餘,來源別,委託時間,有效日期,詳細
1,完全成交,B024R,整股,融資賣出,ROD,力積電(6770),4,70.80,0,4,0,XQTrade,10:16:43,2026/09/11,
2,完全成交,B0249,整股,融資賣出,ROD,力積電(6770),1,70.90,0,1,0,XQTrade,10:15:31,2026/09/11,
3,委託取消,B01ZZ,整股,現股買進,ROD,玉晶光(3406),1,1130.00,1,0,0,XQTrade,10:04:19,2026/09/11,
4,委託取消,B01Y3,整股,融資賣出,ROD,力積電(6770),1,70.90,1,0,0,XQTrade,09:59:34,2026/09/11,
5,完全成交,B01WG,整股,現股賣出,ROD,玉晶光(3406),1,1140.00,0,1,0,XQTrade,09:55:15,2026/09/11,
6,完全成交,B01W2,整股,現股買進,ROD,玉晶光(3406),1,1100.00,0,1,0,XQTrade,09:54:27,2026/09/11,
7,委託取消,B01W0,整股,融資賣出,ROD,力積電(6770),1,71.00,1,0,0,XQTrade,09:54:23,2026/09/11,
8,完全成交,B01SM,整股,融資賣出,ROD,南亞(1303),1,236.00,0,1,0,XQTrade,09:46:32,2026/09/11,
9,完全成交,B01QG,整股,融資賣出,ROD,日月光投控(3711),1,604.00,0,1,0,XQTrade,09:41:50,2026/09/11,
10,完全成交,B01IA,整股,融資賣出,ROD,力積電(6770),6,70.30,0,6,0,XQTrade,09:30:19,2026/09/11,
11,完全成交,B01HZ,整股,融資賣出,ROD,聯電(2303),2,139.00,0,2,0,XQTrade,09:30:02,2026/09/11,
12,完全成交,B01FX,整股,融資賣出,ROD,力積電(6770),1,70.60,0,1,0,XQTrade,09:27:24,2026/09/11,
13,完全成交,B01FL,整股,融資賣出,ROD,友達(2409),10,29.55,0,10,0,XQTrade,09:26:59,2026/09/11,
14,完全成交,B01DW,整股,融資賣出,ROD,力積電(6770),1,70.90,0,1,0,XQTrade,09:24:25,2026/09/11,
15,完全成交,B01DC,整股,融資賣出,ROD,友達(2409),5,29.65,0,5,0,XQTrade,09:23:46,2026/09/11,
16,完全成交,B01DA,整股,融資賣出,ROD,友達(2409),5,29.70,0,5,0,XQTrade,09:23:44,2026/09/11,
17,委託取消,B01CS,整股,融資賣出,ROD,友達(2409),2,30.00,2,0,0,XQTrade,09:23:15,2026/09/11,
18,委託取消,B01BW,整股,融資賣出,ROD,友達(2409),4,30.00,4,0,0,XQTrade,09:22:05,2026/09/11,
19,委託取消,B01BI,整股,融資賣出,ROD,聯電(2303),1,140.50,1,0,0,XQTrade,09:21:22,2026/09/11,
20,委託取消,B01B1,整股,融資賣出,ROD,力積電(6770),1,71.80,1,0,0,XQTrade,09:20:50,2026/09/11,
21,完全成交,B01AW,整股,融資賣出,ROD,南亞(1303),1,239.00,0,1,0,XQTrade,09:20:33,2026/09/11,
22,完全成交,B01A0,整股,融資賣出,ROD,力積電(6770),1,71.50,0,1,0,XQTrade,09:19:41,2026/09/11,
23,完全成交,B019Y,整股,融資賣出,ROD,力積電(6770),1,71.00,0,1,0,XQTrade,09:19:35,2026/09/11,
24,完全成交,B018W,整股,融資賣出,ROD,力積電(6770),1,71.10,0,1,0,XQTrade,09:18:20,2026/09/11,
25,完全成交,B017B,整股,融資賣出,ROD,聯電(2303),1,140.50,0,1,0,XQTrade,09:16:42,2026/09/11,
26,委託取消,B015V,整股,融資賣出,ROD,友達(2409),5,30.00,5,0,0,XQTrade,09:15:26,2026/09/11,
27,完全成交,B015A,整股,融資賣出,ROD,力積電(6770),1,70.70,0,1,0,XQTrade,09:14:51,2026/09/11,
28,完全成交,B011D,整股,融資賣出,ROD,晶豪科(3006),1,293.00,0,1,0,XQTrade,09:12:05,2026/09/11,
29,委託取消,B00KU,整股,融資賣出,ROD,南亞(1303),1,244.00,1,0,0,XQTrade,09:02:33,2026/09/11,
30,委託取消,B00KQ,整股,融資賣出,ROD,南亞(1303),1,241.00,1,0,0,XQTrade,09:02:30,2026/09/11,
31,委託取消,B0072,整股,融資賣出,ROD,力積電(6770),1,75.10,1,0,0,XQTrade,08:39:17,2026/09/11,
32,委託取消,B006Z,整股,融資賣出,ROD,力積電(6770),1,75.00,1,0,0,XQTrade,08:39:17,2026/09/11,
33,委託取消,B006Y,整股,融資賣出,ROD,力積電(6770),1,74.90,1,0,0,XQTrade,08:39:16,2026/09/11,
34,委託取消,B006X,整股,融資賣出,ROD,力積電(6770),1,74.80,1,0,0,XQTrade,08:39:15,2026/09/11,
35,委託取消,B006W,整股,融資賣出,ROD,力積電(6770),1,74.70,1,0,0,XQTrade,08:39:14,2026/09/11,
36,委託取消,B006V,整股,融資賣出,ROD,力積電(6770),1,74.60,1,0,0,XQTrade,08:39:14,2026/09/11,
37,委託取消,B006U,整股,融資賣出,ROD,力積電(6770),1,74.50,1,0,0,XQTrade,08:39:13,2026/09/11,
38,委託取消,B006T,整股,融資賣出,ROD,力積電(6770),1,74.40,1,0,0,XQTrade,08:39:12,2026/09/11,
39,委託取消,B006S,整股,融資賣出,ROD,力積電(6770),1,74.30,1,0,0,XQTrade,08:39:11,2026/09/11,
40,委託取消,B006R,整股,融資賣出,ROD,力積電(6770),1,74.20,1,0,0,XQTrade,08:39:10,2026/09/11,
41,委託取消,B006Q,整股,融資賣出,ROD,力積電(6770),1,74.10,1,0,0,XQTrade,08:39:09,2026/09/11,
42,委託取消,B006P,整股,融資賣出,ROD,力積電(6770),1,74.00,1,0,0,XQTrade,08:39:09,2026/09/11,
43,委託取消,B006O,整股,融資賣出,ROD,力積電(6770),1,73.90,1,0,0,XQTrade,08:39:08,2026/09/11,
44,委託取消,B006N,整股,融資賣出,ROD,力積電(6770),1,73.80,1,0,0,XQTrade,08:39:07,2026/09/11,
45,委託取消,B006M,整股,融資賣出,ROD,力積電(6770),1,73.70,1,0,0,XQTrade,08:39:06,2026/09/11,
46,委託取消,B006L,整股,融資賣出,ROD,力積電(6770),1,73.60,1,0,0,XQTrade,08:39:05,2026/09/11,
47,委託取消,B006K,整股,融資賣出,ROD,力積電(6770),1,73.50,1,0,0,XQTrade,08:39:04,2026/09/11,
48,委託取消,B006J,整股,融資賣出,ROD,日月光投控(3711),1,650.00,1,0,0,XQTrade,08:38:52,2026/09/11,
49,完全成交,B006G,整股,融資賣出,ROD,禾伸堂(3026),1,803.00,0,1,0,XQTrade,08:38:42,2026/09/11,
50,委託取消,B006F,整股,融資賣出,ROD,晶豪科(3006),1,312.00,1,0,0,XQTrade,08:38:32,2026/09/11,
51,委託取消,B0068,整股,融資賣出,ROD,友達(2409),4,31.40,4,0,0,XQTrade,08:38:21,2026/09/11,
52,委託取消,B0067,整股,融資賣出,ROD,友達(2409),4,31.35,4,0,0,XQTrade,08:38:19,2026/09/11,
53,委託取消,B0066,整股,融資賣出,ROD,友達(2409),4,31.30,4,0,0,XQTrade,08:38:18,2026/09/11,
54,委託取消,B0065,整股,融資賣出,ROD,友達(2409),4,31.25,4,0,0,XQTrade,08:38:17,2026/09/11,
55,委託取消,B0064,整股,融資賣出,ROD,友達(2409),4,31.20,4,0,0,XQTrade,08:38:16,2026/09/11,
56,委託取消,B0061,整股,融資賣出,ROD,聯電(2303),1,143.50,1,0,0,XQTrade,08:38:02,2026/09/11,
57,委託取消,B0060,整股,融資賣出,ROD,聯電(2303),1,143.00,1,0,0,XQTrade,08:38:01,2026/09/11,
58,委託取消,B005Z,整股,融資賣出,ROD,聯電(2303),1,142.50,1,0,0,XQTrade,08:38:00,2026/09/11,
59,委託取消,B005T,整股,融資賣出,ROD,南亞(1303),1,246.00,1,0,0,XQTrade,08:37:32,2026/09/11,
60,委託取消,B005R,整股,融資賣出,ROD,南亞(1303),1,244.00,1,0,0,XQTrade,08:37:29,2026/09/11,
