成交時間,交易類別,委託條件,股票名稱,成交數量,成交單價,成交價金,盤別
10:17:28,融資賣出,ROD,力積電(6770),2000,70.80,141600,整股
10:17:28,融資賣出,ROD,力積電(6770),1000,70.80,70800,整股
10:17:27,融資賣出,ROD,力積電(6770),1000,70.80,70800,整股
10:15:31,融資賣出,ROD,力積電(6770),1000,70.90,70900,整股
10:04:27,現股賣出,ROD,玉晶光(3406),1000,1140.00,1140000,整股
09:54:45,現股買進,ROD,玉晶光(3406),1000,1100.00,1100000,整股
09:46:32,融資賣出,ROD,南亞(1303),1000,236.00,236000,整股
09:41:50,融資賣出,ROD,日月光投控(3711),1000,605.00,605000,整股
09:30:19,融資賣出,ROD,力積電(6770),6000,70.30,421800,整股
09:30:03,融資賣出,ROD,聯電(2303),2000,139.00,278000,整股
09:27:47,融資賣出,ROD,力積電(6770),1000,70.60,70600,整股
09:26:59,融資賣出,ROD,友達(2409),3000,29.55,88650,整股
09:26:59,融資賣出,ROD,友達(2409),5000,29.55,147750,整股
09:26:59,融資賣出,ROD,友達(2409),1000,29.55,29550,整股
09:26:59,融資賣出,ROD,友達(2409),1000,29.55,29550,整股
09:24:38,融資賣出,ROD,力積電(6770),1000,70.90,70900,整股
09:24:29,融資賣出,ROD,南亞(1303),1000,239.00,239000,整股
09:23:58,融資賣出,ROD,友達(2409),1000,29.70,29700,整股
09:23:57,融資賣出,ROD,友達(2409),1000,29.70,29700,整股
09:23:50,融資賣出,ROD,友達(2409),3000,29.70,89100,整股
09:23:46,融資賣出,ROD,友達(2409),5000,29.65,148250,整股
09:20:47,融資賣出,ROD,力積電(6770),1000,71.50,71500,整股
09:19:35,融資賣出,ROD,力積電(6770),1000,71.30,71300,整股
09:19:34,融資賣出,ROD,力積電(6770),1000,71.10,71100,整股
09:17:58,融資賣出,ROD,聯電(2303),1000,140.50,140500,整股
09:15:06,融資賣出,ROD,力積電(6770),1000,70.70,70700,整股
09:12:05,融資賣出,ROD,晶豪科(3006),1000,293.00,293000,整股
09:03:25,融資賣出,ROD,禾伸堂(3026),1000,803.00,803000,整股
