股票名稱,成交日期,交易類別,成交股數,帳面收入,持有成本,損益,報酬率,明細,自設持有成本,設定,新持有成本
友達(2409),2026/09/24,融資賣出,10000,141115,142310,-1195,-0.84%,,0,,0
聯發科(2454),2026/09/24,融資賣出,1000,2122853,2081014,41839,2.01%,,0,,0
南亞科(2408),2026/09/24,融資賣出,1000,180385,210101,-29716,-14.14%,,0,,0
力積電(6770),2026/09/24,融資賣出,4000,105080,119656,-14576,-12.18%,,0,,0
聯發科(2454),2026/09/24,現股互抵賣出,1000,5310983,5341041,-30058,-0.56%,,0,,0
景碩(3189),2026/09/24,現股互抵賣出,1000,951386,954186,-2800,-0.29%,,0,,0
南亞(1303),2026/09/24,現股互抵賣出,1000,230111,232545,-2434,-1.05%,,0,,0
光頡(3624),2026/09/24,現股互抵賣出,2000,285516,276553,8963,3.24%,,0,,0
