成交時間,交易類別,委託條件,股票名稱,成交數量,成交單價,成交價金,盤別
13:17:33,現股買進,ROD,華新科(2492),1000,312.00,312000,整股
13:13:43,現股買進,ROD,南亞(1303),1000,237.00,237000,整股
12:57:52,現股買進,ROD,穩懋(3105),1000,503.00,503000,整股
12:50:49,現股買進,ROD,南亞(1303),1000,236.50,236500,整股
12:50:45,現股買進,ROD,友達(2409),1000,34.40,34400,整股
12:50:42,現股買進,ROD,友達(2409),9000,34.40,309600,整股
12:36:18,現股買進,ROD,南亞(1303),1000,235.50,235500,整股
11:58:14,現股買進,ROD,信昌電(6173),1000,310.00,310000,整股
11:27:09,現股買進,ROD,禾伸堂(3026),1000,808.00,808000,整股
10:51:27,現沖賣出,ROD,南亞(1303),1000,230.50,230500,整股
10:47:22,現股買進,ROD,景碩(3189),1000,989.00,989000,整股
10:46:44,現股買進,ROD,光頡(3624),1000,144.00,144000,整股
10:40:34,現股賣出,ROD,光頡(3624),1000,144.00,144000,整股
10:38:35,現股賣出,ROD,光頡(3624),1000,142.00,142000,整股
10:37:15,現股買進,ROD,光頡(3624),1000,139.50,139500,整股
10:36:32,現股買進,ROD,南亞(1303),1000,234.00,234000,整股
10:01:08,現股買進,ROD,光頡(3624),1000,137.00,137000,整股
09:54:00,現股買進,ROD,南亞(1303),1000,232.50,232500,整股
09:39:14,現股賣出,ROD,景碩(3189),1000,953.00,953000,整股
09:35:14,現股賣出,ROD,聯發科(2454),1000,5320.00,5320000,整股
09:33:27,融資賣出,ROD,力積電(6770),4000,70.50,282000,整股
09:32:50,現股買進,ROD,聯發科(2454),1000,5340.00,5340000,整股
09:22:15,現股買進,ROD,景碩(3189),1000,954.00,954000,整股
09:15:43,融資賣出,ROD,南亞科(2408),1000,495.00,495000,整股
09:02:38,融資賣出,ROD,友達(2409),1000,35.55,35550,整股
09:01:38,融資賣出,ROD,友達(2409),1000,35.50,35500,整股
09:01:38,融資賣出,ROD,友達(2409),1000,35.45,35450,整股
09:01:37,融資賣出,ROD,友達(2409),1000,35.40,35400,整股
09:01:36,融資賣出,ROD,聯發科(2454),1000,5260.00,5260000,整股
09:01:35,融資賣出,ROD,友達(2409),1000,35.35,35350,整股
09:01:35,融資賣出,ROD,友達(2409),1000,35.30,35300,整股
09:00:35,融資賣出,ROD,友達(2409),1000,35.25,35250,整股
09:00:34,融資賣出,ROD,友達(2409),1000,35.20,35200,整股
09:00:32,融資賣出,ROD,友達(2409),1000,35.15,35150,整股
09:00:31,融資賣出,ROD,友達(2409),1000,35.10,35100,整股
