筆數,狀態,委託書號,盤別,交易類別,委託條件,股票名稱,原委託,價格,取消,成交,剩餘,來源別,委託時間,有效日期,詳細
1,完全成交,B034K,整股,現股買進,ROD,華新科(2492),1,312.00,0,1,0,XQTrade,13:16:55,2026/09/24,
2,委託成功,B033U,整股,現股賣出,ROD,南亞(1303),1,249.50,0,0,1,XQTrade,13:14:02,2026/09/24,
3,委託成功,B033M,整股,現股賣出,ROD,禾伸堂(3026),1,829.00,0,0,1,XQTrade,13:13:00,2026/09/24,
4,完全成交,B033E,整股,現股買進,ROD,南亞(1303),1,237.00,0,1,0,XQTrade,13:12:20,2026/09/24,
5,委託成功,B030A,整股,現股賣出,ROD,南亞(1303),1,246.50,0,0,1,XQTrade,12:57:33,2026/09/24,
6,委託成功,B0309,整股,現股賣出,ROD,南亞(1303),1,243.50,0,0,1,XQTrade,12:57:30,2026/09/24,
7,委託成功,B0307,整股,現股賣出,ROD,南亞(1303),1,240.50,0,0,1,XQTrade,12:57:27,2026/09/24,
8,已刪除,B0303,整股,現股賣出,ROD,南亞(1303),1,245.00,1,0,0,XQTrade,12:57:05,2026/09/24,
9,完全成交,B0301,整股,現股買進,ROD,穩懋(3105),1,503.00,0,1,0,XQTrade,12:56:52,2026/09/24,
10,完全成交,B02YG,整股,現股買進,ROD,友達(2409),10,34.40,0,10,0,XQTrade,12:49:48,2026/09/24,
11,完全成交,B02YD,整股,現股買進,ROD,南亞(1303),1,236.50,0,1,0,XQTrade,12:49:29,2026/09/24,
12,已刪除,B02WM,整股,現股賣出,ROD,南亞(1303),1,242.00,1,0,0,XQTrade,12:40:28,2026/09/24,
13,已刪除,B02VL,整股,現股賣出,ROD,南亞(1303),1,239.00,1,0,0,XQTrade,12:36:33,2026/09/24,
14,完全成交,B02V8,整股,現股買進,ROD,南亞(1303),1,235.50,0,1,0,XQTrade,12:35:16,2026/09/24,
15,完全成交,B02O2,整股,現股買進,ROD,信昌電(6173),1,310.00,0,1,0,XQTrade,11:52:17,2026/09/24,
16,完全成交,B02JW,整股,現股買進,ROD,禾伸堂(3026),1,808.00,0,1,0,XQTrade,11:24:53,2026/09/24,
17,已刪除,B02JI,整股,現股買進,ROD,禾伸堂(3026),1,806.00,1,0,0,XQTrade,11:22:54,2026/09/24,
18,已刪除,B02IB,整股,現沖賣出,ROD,南亞(1303),1,239.00,1,0,0,XQTrade,11:18:29,2026/09/24,
19,已刪除,B02H9,整股,現沖賣出,ROD,南亞(1303),1,238.00,1,0,0,XQTrade,11:13:45,2026/09/24,
20,完全成交,B02AY,整股,現沖賣出,ROD,南亞(1303),1,230.50,0,1,0,XQTrade,10:51:25,2026/09/24,
21,已刪除,B02AI,整股,現沖賣出,ROD,南亞(1303),1,230.50,1,0,0,XQTrade,10:49:57,2026/09/24,
22,已刪除,B029X,整股,現沖賣出,ROD,南亞(1303),1,230.50,1,0,0,XQTrade,10:47:52,2026/09/24,
23,委託成功,B029P,整股,現股賣出,ROD,光頡(3624),1,146.50,0,0,1,XQTrade,10:46:46,2026/09/24,
24,完全成交,B029N,整股,現股買進,ROD,光頡(3624),1,144.00,0,1,0,XQTrade,10:46:40,2026/09/24,
25,完全成交,B028V,整股,現股買進,ROD,景碩(3189),1,989.00,0,1,0,XQTrade,10:43:50,2026/09/24,
26,完全成交,B027F,整股,現股賣出,ROD,光頡(3624),1,144.00,0,1,0,XQTrade,10:37:21,2026/09/24,
27,已刪除,B0278,整股,現股賣出,ROD,南亞(1303),1,240.50,1,0,0,XQTrade,10:36:37,2026/09/24,
