成交時間,交易類別,委託條件,股票名稱,成交數量,成交單價,成交價金,盤別
13:26:11,現股賣出,ROD,廣積(8050),20,59.00,1180,盤中零股
13:26:11,現股賣出,ROD,廣積(8050),10,59.00,590,盤中零股
13:05:19,現股買進,ROD,群創(3481),4000,51.10,204400,整股
12:43:10,現股買進,ROD,群創(3481),3000,51.00,153000,整股
12:43:09,現股買進,ROD,群創(3481),1000,51.00,51000,整股
11:37:27,現股買進,ROD,國巨*(2327),1000,585.00,585000,整股
10:47:59,現股賣出,ROD,群創(3481),1000,51.70,51700,整股
10:47:59,現股賣出,ROD,群創(3481),1000,51.70,51700,整股
10:47:20,現沖賣出,ROD,群創(3481),2000,51.80,103600,整股
10:47:20,現沖賣出,ROD,群創(3481),1000,51.80,51800,整股
10:47:20,現沖賣出,ROD,群創(3481),1000,51.80,51800,整股
10:47:20,現沖賣出,ROD,群創(3481),1000,51.80,51800,整股
10:47:20,現沖賣出,ROD,群創(3481),2000,51.80,103600,整股
10:47:20,現沖賣出,ROD,群創(3481),1000,51.80,51800,整股
10:42:09,現股賣出,ROD,穩懋(3105),1000,508.00,508000,整股
10:36:28,現股買進,ROD,群創(3481),2000,52.10,104200,整股
10:29:21,現股買進,ROD,群創(3481),1000,51.90,51900,整股
10:29:21,現股買進,ROD,群創(3481),2000,51.90,103800,整股
10:29:20,現股買進,ROD,群創(3481),1000,51.90,51900,整股
10:22:47,現股賣出,ROD,聯電(2303),4000,166.00,664000,整股
10:20:29,現股買進,ROD,群創(3481),4000,51.90,207600,整股
10:01:33,現股買進,ROD,聯電(2303),1000,167.00,167000,整股
10:01:33,現股買進,ROD,聯電(2303),1000,167.00,167000,整股
10:00:04,現股賣出,ROD,京元電子(2449),1000,323.50,323500,整股
09:58:51,現股買進,ROD,京元電子(2449),1000,321.50,321500,整股
09:58:50,現股買進,ROD,穩懋(3105),1000,509.00,509000,整股
09:49:44,融資賣出,ROD,全新(2455),1000,553.00,553000,整股
09:47:44,現股賣出,ROD,京元電子(2449),1000,319.00,319000,整股
09:45:40,現股買進,ROD,聯電(2303),2000,167.00,334000,整股
09:39:36,現股買進,ROD,京元電子(2449),1000,321.50,321500,整股
09:06:49,融資賣出,ROD,全新(2455),1000,559.00,559000,整股
09:03:19,融資賣出,ROD,友達(2409),5000,35.05,175250,整股
09:00:40,現股賣出,ROD,辛耘四(35834),1000,130.00,130000,整股
09:00:40,現股賣出,ROD,辛耘四(35834),1000,130.00,130000,整股
09:00:16,融資賣出,ROD,嘉晶(3016),1000,125.00,125000,整股
09:00:11,融資賣出,ROD,光頡(3624),1000,134.50,134500,整股
09:00:01,融資賣出,ROD,友達(2409),5000,34.95,174750,整股
09:00:00,融資賣出,ROD,聯電(2303),1000,161.00,161000,整股
09:00:00,融資賣出,ROD,聯電(2303),1000,161.00,161000,整股
09:00:00,融資賣出,ROD,聯電(2303),1000,161.00,161000,整股
09:00:00,融資賣出,ROD,聯電(2303),1000,161.00,161000,整股
09:00:00,融資賣出,ROD,友達(2409),5000,34.90,174500,整股
09:00:00,融資賣出,ROD,友達(2409),5000,34.90,174500,整股
09:00:00,融資賣出,ROD,友達(2409),4000,34.90,139600,整股
09:00:00,融資賣出,ROD,友達(2409),1000,34.90,34900,整股
09:00:00,融資賣出,ROD,友達(2409),5000,34.90,174500,整股
09:00:00,融資賣出,ROD,友達(2409),5000,34.90,174500,整股
09:00:00,融資賣出,ROD,友達(2409),5000,34.90,174500,整股
09:00:00,融資賣出,ROD,友達(2409),5000,34.90,174500,整股
09:00:00,融資賣出,ROD,友達(2409),5000,34.90,174500,整股
09:00:00,融資賣出,ROD,友達(2409),1000,34.90,34900,整股
09:00:00,融資賣出,ROD,友達(2409),4000,34.90,139600,整股
09:00:00,融資賣出,ROD,友達(2409),5000,34.90,174500,整股
09:00:00,融資賣出,ROD,友達(2409),5000,34.90,174500,整股
09:00:00,融資賣出,ROD,友達(2409),5000,34.90,174500,整股
