成交日期,股票名稱,交易類別,成交股數,成交價格,成交價金,手續費,交易稅,應收付金額,融資自備款/融券擔保品,融資金額/融券保證金,債息/利息,融券手續費/標借費用
2026/09/22,聯電(2303),現沖買進,2000,167.00,334000,65,0,-334065,0,0,0,0
2026/09/22,聯電(2303),現沖買進,2000,167.00,334000,65,0,-334065,0,0,0,0
2026/09/22,聯電(2303),現沖賣出,4000,166.00,664000,129,996,662875,0,0,0,0
2026/09/22,聯電(2303),融資賣出,1000,161.00,161000,31,483,66476,67000,94000,10,0
2026/09/22,聯電(2303),融資賣出,1000,161.00,161000,31,483,66476,67000,94000,10,0
2026/09/22,聯電(2303),融資賣出,1000,161.00,161000,31,483,65476,66000,95000,10,0
2026/09/22,聯電(2303),融資賣出,1000,161.00,161000,31,483,66476,67000,94000,10,0
2026/09/22,國巨*(2327),現股買進,1000,585.00,585000,114,0,-585114,0,0,0,0
2026/09/22,友達(2409),融資賣出,5000,34.90,174500,34,523,76932,77500,97000,11,0
2026/09/22,友達(2409),融資賣出,5000,34.90,174500,34,523,77932,78500,96000,11,0
2026/09/22,友達(2409),融資賣出,5000,34.90,174500,34,523,76932,77500,97000,11,0
2026/09/22,友達(2409),融資賣出,5000,34.90,174500,34,523,76932,77500,97000,11,0
2026/09/22,友達(2409),融資賣出,5000,34.90,174500,34,523,75932,76500,98000,11,0
2026/09/22,友達(2409),融資賣出,5000,34.90,174500,34,523,75932,76500,98000,11,0
2026/09/22,友達(2409),融資賣出,5000,34.90,174500,34,523,74932,75500,99000,11,0
2026/09/22,友達(2409),融資賣出,5000,34.90,174500,34,523,75932,76500,98000,11,0
2026/09/22,友達(2409),融資賣出,5000,34.90,174500,34,523,74932,75500,99000,11,0
2026/09/22,友達(2409),融資賣出,5000,34.90,174500,34,523,74932,75500,99000,11,0
2026/09/22,友達(2409),融資賣出,5000,34.90,174500,34,523,73932,74500,100000,11,0
2026/09/22,友達(2409),融資賣出,5000,34.90,174500,34,523,73932,74500,100000,11,0
2026/09/22,友達(2409),融資賣出,5000,34.95,174750,34,524,74181,74750,100000,11,0
2026/09/22,友達(2409),融資賣出,5000,35.05,175250,34,525,74680,75250,100000,11,0
2026/09/22,京元電子(2449),現沖買進,1000,321.50,321500,62,0,-321562,0,0,0,0
2026/09/22,京元電子(2449),現沖買進,1000,321.50,321500,62,0,-321562,0,0,0,0
2026/09/22,京元電子(2449),現沖賣出,1000,319.00,319000,62,478,318460,0,0,0,0
2026/09/22,京元電子(2449),現沖賣出,1000,323.50,323500,63,485,322952,0,0,0,0
2026/09/22,全新(2455),融資賣出,1000,559.00,559000,109,1677,274183,276000,283000,31,0
2026/09/22,全新(2455),融資賣出,1000,553.00,553000,107,1659,262202,264000,289000,32,0
2026/09/22,嘉晶(3016),融資賣出,1000,125.00,125000,24,375,52593,53000,72000,8,0
2026/09/22,穩懋(3105),現沖買進,1000,509.00,509000,99,0,-509099,0,0,0,0
2026/09/22,穩懋(3105),現沖賣出,1000,508.00,508000,99,762,507139,0,0,0,0
2026/09/22,群創(3481),現沖買進,2000,51.90,103800,20,0,-103820,0,0,0,0
2026/09/22,群創(3481),現沖買進,4000,51.00,204000,39,0,-204039,0,0,0,0
2026/09/22,群創(3481),現沖買進,4000,51.10,204400,39,0,-204439,0,0,0,0
2026/09/22,群創(3481),現沖賣出,8000,51.80,414400,80,621,413699,0,0,0,0
2026/09/22,群創(3481),現沖賣出,2000,51.70,103400,20,155,103225,0,0,0,0
2026/09/22,群創(3481),現股買進,2000,51.90,103800,20,0,-103820,0,0,0,0
2026/09/22,群創(3481),現股買進,4000,51.90,207600,40,0,-207640,0,0,0,0
2026/09/22,群創(3481),現股買進,2000,52.10,104200,20,0,-104220,0,0,0,0
2026/09/22,辛耘四(35834),現股賣出,1000,130.00,130000,25,0,129975,0,0,0,0
2026/09/22,辛耘四(35834),現股賣出,1000,130.00,130000,25,0,129975,0,0,0,0
2026/09/22,光頡(3624),融資賣出,1000,134.50,134500,26,403,66064,66500,68000,7,0
2026/09/22,廣積(8050),現股賣出,30,59.00,1770,1,5,1764,0,0,0,0
 ,小計,,,,10386370,2015,16873,1234610,1992500,2467000,272,0
