股票名稱,成交日期,交易類別,成交股數,帳面收入,持有成本,損益,報酬率,明細,自設持有成本,設定,新持有成本
廣積(8050),2026/09/22,現股賣出,30,1764,2637,-873,-33.11%,,0,,0
辛耘四(35834),2026/09/22,現股賣出,2000,259950,0,5354,2.10%,,0,,254596
聯電(2303),2026/09/22,融資賣出,4000,264904,252120,12784,5.07%,,0,,0
友達(2409),2026/09/22,融資賣出,70000,1058045,923942,134103,14.51%,,0,,0
嘉晶(3016),2026/09/22,融資賣出,1000,52593,49523,3070,6.20%,,0,,0
光頡(3624),2026/09/22,融資賣出,1000,66064,68026,-1962,-2.88%,,0,,0
全新(2455),2026/09/22,融資賣出,2000,536385,574222,-37837,-6.59%,,0,,0
穩懋(3105),2026/09/22,現股互抵賣出,1000,507139,509099,-1960,-0.38%,,0,,0
京元電子(2449),2026/09/22,現股互抵賣出,2000,641412,643124,-1712,-0.27%,,0,,0
聯電(2303),2026/09/22,現股互抵賣出,4000,662875,668130,-5255,-0.79%,,0,,0
群創(3481),2026/09/22,現股互抵賣出,10000,516924,512298,4626,0.90%,,0,,0
