股票名稱,成交日期,交易類別,成交股數,帳面收入,持有成本,損益,報酬率,明細,自設持有成本,設定,新持有成本
聯一光(3441),2026/09/16,現股賣出,2000,342902,345566,-2664,-0.77%,,0,,0
聯發科(2454),2026/09/16,現股互抵賣出,1000,4607179,4595896,11283,0.25%,,0,,0
信昌電(6173),2026/09/16,現股互抵賣出,4000,1265852,1233738,32114,2.60%,,0,,0
聯電(2303),2026/09/16,現股互抵賣出,3000,423783,423581,202,0.05%,,0,,0
友達(2409),2026/09/16,現股互抵賣出,10000,294503,287556,6947,2.42%,,0,,0
台積電(2330),2026/09/16,現股互抵賣出,4000,9523830,9521856,1974,0.02%,,0,,0
