成交時間,交易類別,委託條件,股票名稱,成交數量,成交單價,成交價金,盤別
13:10:54,現股買進,ROD,力積電(6770),1000,69.90,69900,整股
13:07:48,現股賣出,ROD,信昌電(6173),1000,320.00,320000,整股
13:07:05,現股賣出,ROD,信昌電(6173),1000,318.00,318000,整股
13:06:53,現股賣出,ROD,信昌電(6173),1000,316.00,316000,整股
12:54:48,現股買進,ROD,力積電(6770),1000,69.80,69800,整股
12:54:46,現股買進,ROD,力積電(6770),2000,69.80,139600,整股
12:54:31,現股買進,ROD,頎邦(6147),1000,207.00,207000,整股
12:37:18,現股買進,ROD,信昌電(6173),1000,311.50,311500,整股
12:34:20,現股賣出,ROD,信昌電(6173),1000,314.00,314000,整股
12:24:33,現股買進,ROD,聯電(2303),1000,142.00,142000,整股
12:17:00,現股買進,ROD,聯電(2303),1000,142.00,142000,整股
12:12:21,現股買進,ROD,信昌電(6173),1000,309.50,309500,整股
12:10:31,現股買進,ROD,穩懋(3105),1000,471.50,471500,整股
12:09:02,現股買進,ROD,嘉晶(3016),1000,115.50,115500,整股
12:00:02,現股賣出,ROD,聯電(2303),1000,142.50,142500,整股
11:58:24,現股買進,ROD,友達(2409),5000,29.45,147250,整股
11:57:43,現股賣出,ROD,友達(2409),5000,29.55,147750,整股
11:51:45,現股買進,ROD,友達(2409),1000,29.35,29350,整股
11:51:44,現股買進,ROD,友達(2409),4000,29.35,117400,整股
11:48:51,現股買進,ROD,信昌電(6173),1000,307.50,307500,整股
11:46:03,現股賣出,ROD,友達(2409),5000,29.45,147250,整股
11:37:26,現股買進,ROD,前鼎(4908),1000,239.00,239000,整股
11:33:18,現股買進,ROD,友達(2409),1000,29.25,29250,整股
11:33:18,現股買進,ROD,友達(2409),1000,29.25,29250,整股
11:33:18,現股買進,ROD,友達(2409),3000,29.25,87750,整股
11:32:39,現股買進,ROD,聯電(2303),1000,142.00,142000,整股
11:32:39,現股買進,ROD,聯電(2303),1000,142.00,142000,整股
11:22:27,現股賣出,ROD,聯發科(2454),1000,4615.00,4615000,整股
11:19:20,現股買進,ROD,力積電(6770),1000,69.50,69500,整股
11:19:20,現股買進,ROD,力積電(6770),2000,69.50,139000,整股
11:19:04,現股買進,ROD,聯發科(2454),1000,4595.00,4595000,整股
11:16:06,現股買進,ROD,信昌電(6173),1000,305.00,305000,整股
11:14:20,現股買進,ROD,友達(2409),5000,29.15,145750,整股
10:52:05,現股買進,ROD,友達(2409),5000,29.10,145500,整股
10:51:40,現股買進,ROD,友達(2409),5000,29.10,145500,整股
10:34:45,現股賣出,ROD,聯電(2303),1000,141.00,141000,整股
10:34:44,現股賣出,ROD,聯電(2303),1000,141.00,141000,整股
10:34:24,現股賣出,ROD,台積電(2330),2000,2385.00,4770000,整股
10:24:14,現股買進,ROD,台積電(2330),2000,2380.00,4760000,整股
10:03:53,現股買進,ROD,友達(2409),5000,28.75,143750,整股
09:51:40,現股買進,ROD,友達(2409),1000,29.00,29000,整股
09:51:40,現股買進,ROD,友達(2409),1000,29.00,29000,整股
09:51:40,現股買進,ROD,友達(2409),1000,29.00,29000,整股
09:51:39,現股買進,ROD,友達(2409),2000,29.00,58000,整股
09:51:18,現股買進,ROD,友達(2409),5000,28.95,144750,整股
09:46:08,現股買進,ROD,聯電(2303),1000,141.50,141500,整股
09:46:05,現股買進,ROD,聯電(2303),1000,141.50,141500,整股
09:39:39,現股賣出,ROD,台積電(2330),1000,2385.00,2385000,整股
09:39:34,現股賣出,ROD,台積電(2330),1000,2385.00,2385000,整股
09:36:13,現股買進,ROD,友達(2409),1000,28.75,28750,整股
09:36:12,現股買進,ROD,友達(2409),1000,28.75,28750,整股
09:36:12,現股買進,ROD,友達(2409),3000,28.75,86250,整股
09:31:25,現股買進,ROD,聯電(2303),1000,141.00,141000,整股
09:31:11,現股買進,ROD,聯電(2303),1000,141.00,141000,整股
09:24:55,現股買進,ROD,台積電(2330),2000,2380.00,4760000,整股
09:00:23,現股賣出,ROD,聯一光(3441),1000,173.00,173000,整股
09:00:18,現股賣出,ROD,聯一光(3441),1000,171.00,171000,整股
