筆數,狀態,委託書號,盤別,交易類別,委託條件,股票名稱,原委託,價格,取消,成交,剩餘,來源別,委託時間,有效日期,詳細
1,委託成功,B03JO,整股,現股買進,ROD,友達(2409),10,33.35,0,0,10,XQTrade,13:25:45,2026/09/21,
2,已刪除,B03FO,整股,現股買進,ROD,聯發科(2454),1,4990.00,1,0,0,XQTrade,13:17:16,2026/09/21,
3,完全成交,B03E0,整股,現股買進,ROD,光頡(3624),1,136.00,0,1,0,XQTrade,13:12:41,2026/09/21,
4,完全成交,B036Z,整股,現股買進,ROD,嘉晶(3016),1,121.50,0,1,0,XQTrade,12:41:11,2026/09/21,
5,完全成交,B034R,整股,融資買進,ROD,聯電(2303),2,157.50,0,2,0,XQTrade,12:29:48,2026/09/21,
6,已刪除,B034N,整股,現股買進,ROD,聯發科(2454),1,4975.00,1,0,0,XQTrade,12:29:14,2026/09/21,
7,委託成功,B02YV,整股,現股賣出,ROD,全新(2455),1,602.00,0,0,1,XQTrade,11:58:03,2026/09/21,
8,委託成功,B02YU,整股,現股賣出,ROD,全新(2455),1,596.00,0,0,1,XQTrade,11:57:56,2026/09/21,
9,完全成交,B02YP,整股,現股買進,ROD,全新(2455),1,579.00,0,1,0,XQTrade,11:57:32,2026/09/21,
10,完全成交,B02X8,整股,融資買進,ROD,聯電(2303),2,157.00,0,2,0,XQTrade,11:50:53,2026/09/21,
11,完全成交,B02UC,整股,現股買進,ROD,友達(2409),10,市價,0,10,0,XQTrade,11:36:50,2026/09/21,
12,已刪除,B02TC,整股,現股買進,ROD,友達(2409),10,市價,10,0,0,XQTrade,11:32:17,2026/09/21,
13,委託成功,B02QR,整股,現股買進,ROD,友達(2409),10,33.35,0,0,10,XQTrade,11:21:32,2026/09/21,
14,完全成交,B02NV,整股,現股買進,ROD,全新(2455),1,567.00,0,1,0,XQTrade,11:08:07,2026/09/21,
15,完全成交,B02EE,整股,現股賣出,ROD,京元電子(2449),1,302.00,0,1,0,XQTrade,10:33:47,2026/09/21,
16,完全成交,B02E9,整股,現股買進,ROD,友達(2409),10,33.15,0,10,0,XQTrade,10:33:41,2026/09/21,
17,完全成交,B02DF,整股,現股買進,ROD,友達(2409),10,32.90,0,10,0,XQTrade,10:31:22,2026/09/21,
18,完全成交,B02AE,整股,現股買進,ROD,京元電子(2449),1,302.50,0,1,0,XQTrade,10:18:12,2026/09/21,
19,完全成交,B028E,整股,現股買進,ROD,友達(2409),10,32.70,0,10,0,XQTrade,10:12:13,2026/09/21,
20,完全成交,B025A,整股,現股賣出,ROD,日月光投控(3711),1,659.00,0,1,0,XQTrade,10:05:23,2026/09/21,
21,完全成交,B023H,整股,現股賣出,ROD,順達(3211),1,396.50,0,1,0,XQTrade,10:00:55,2026/09/21,
22,已刪除,B022T,整股,現股賣出,ROD,順達(3211),1,395.50,1,0,0,XQTrade,09:59:25,2026/09/21,
23,已刪除,B01Z8,整股,現股賣出,ROD,順達(3211),1,395.50,1,0,0,XQTrade,09:51:51,2026/09/21,
24,完全成交,B01YB,整股,現股買進,ROD,日月光投控(3711),1,662.00,0,1,0,XQTrade,09:50:14,2026/09/21,
25,完全成交,B01WJ,整股,現股買進,ROD,友達(2409),10,32.45,0,10,0,XQTrade,09:46:51,2026/09/21,
26,完全成交,B01SS,整股,現股買進,ROD,友達(2409),10,32.25,0,10,0,XQTrade,09:41:02,2026/09/21,
