成交日期,股票名稱,交易類別,成交股數,成交價格,成交價金,手續費,交易稅,應收付金額,融資自備款/融券擔保品,融資金額/融券保證金,債息/利息,融券手續費/標借費用
2026/09/21,聯電(2303),現股賣出,1000,156.50,156500,30,469,156001,0,0,0,0
2026/09/21,聯電(2303),現股賣出,1000,156.50,156500,30,469,156001,0,0,0,0
2026/09/21,聯電(2303),現股賣出,1000,157.00,157000,30,471,156499,0,0,0,0
2026/09/21,聯電(2303),現股賣出,1000,157.50,157500,30,472,156998,0,0,0,0
2026/09/21,聯電(2303),融資買進,2000,157.00,314000,61,0,-126061,126000,188000,0,0
2026/09/21,聯電(2303),融資買進,2000,157.50,315000,61,0,-126061,126000,189000,0,0
2026/09/21,國巨*(2327),融資賣出,1000,556.00,556000,108,1668,230188,232000,324000,36,0
2026/09/21,國巨*(2327),融資賣出,1000,556.00,556000,108,1668,227188,229000,327000,36,0
2026/09/21,南亞科(2408),融資賣出,1000,521.00,521000,101,1563,206302,208000,313000,34,0
2026/09/21,友達(2409),融資買進,10000,32.25,322500,62,0,-129562,129500,193000,0,0
2026/09/21,友達(2409),融資買進,10000,32.45,324500,63,0,-130563,130500,194000,0,0
2026/09/21,友達(2409),融資買進,10000,32.70,327000,63,0,-131063,131000,196000,0,0
2026/09/21,友達(2409),融資買進,10000,32.90,329000,64,0,-132064,132000,197000,0,0
2026/09/21,友達(2409),融資買進,10000,33.15,331500,64,0,-133564,133500,198000,0,0
2026/09/21,友達(2409),融資買進,10000,33.35,333500,65,0,-133565,133500,200000,0,0
2026/09/21,友達(2409),融資買進,10000,33.35,333500,65,0,-133565,133500,200000,0,0
2026/09/21,京元電子(2449),現沖買進,1000,302.50,302500,58,0,-302558,0,0,0,0
2026/09/21,京元電子(2449),現沖賣出,1000,302.00,302000,58,453,301489,0,0,0,0
2026/09/21,全新(2455),現股買進,1000,579.00,579000,112,0,-579112,0,0,0,0
2026/09/21,全新(2455),融資買進,1000,567.00,567000,110,0,-284110,284000,283000,0,0
2026/09/21,嘉晶(3016),現股買進,1000,121.50,121500,23,0,-121523,0,0,0,0
2026/09/21,禾伸堂(3026),融資賣出,1000,801.00,801000,156,2403,406398,409000,392000,43,0
2026/09/21,穩懋(3105),融資賣出,1000,503.00,503000,98,1509,203360,205000,298000,33,0
2026/09/21,順達(3211),現沖買進,1000,389.50,389500,75,0,-389575,0,0,0,0
2026/09/21,順達(3211),現沖賣出,1000,396.50,396500,77,594,395829,0,0,0,0
2026/09/21,光頡(3624),現股買進,1000,136.00,136000,26,0,-136026,0,0,0,0
2026/09/21,日月光投控(3711),現沖買進,1000,662.00,662000,129,0,-662129,0,0,0,0
2026/09/21,日月光投控(3711),現沖賣出,1000,659.00,659000,128,988,657884,0,0,0,0
2026/09/21,頎邦(6147),現沖買進,1000,229.50,229500,44,0,-229544,0,0,0,0
2026/09/21,頎邦(6147),現沖賣出,1000,226.00,226000,44,339,225617,0,0,0,0
2026/09/21,頎邦(6147),融資賣出,1000,229.50,229500,44,688,95753,96500,133000,15,0
2026/09/21,頎邦(6147),融資賣出,2000,224.50,449000,87,1347,178536,180000,269000,30,0
 ,小計,,,,11744000,2274,15101,-126602,3019000,4094000,227,0
