open,high,low,close,change_price,change_rate,average_price,volume,total_volume,amount,total_amount,yesterday_volume,volume_ratio,date,stock_id,name
46724.0,47429.58,46724.0,47326.27,775.14,1.66,0.0,307073,10889433,42284518240,939926033350,9176469,1.19,2026-09-07 13:33:00,001,加權指數
404.12,411.23,404.12,409.33,6.85,1.7,0.0,36064,1854958,8194867440,201621334730,1759103,1.05,2026-09-07 13:33:00,101,櫃檯買賣發行量加權股價指數
