股票名稱,成交日期,交易類別,成交股數,帳面收入,持有成本,損益,報酬率,明細,自設持有成本,設定,新持有成本
創新服務(7828),2026/09/07,現股賣出,1000,1893930,1880366,13564,0.72%,,0,,0
聯一光(3441),2026/09/07,融資賣出,2000,127122,142554,-15432,-10.83%,,0,,0
華星光(4979),2026/09/07,融資賣出,1000,308970,315122,-6152,-1.95%,,0,,0
華城(1519),2026/09/07,現股互抵賣出,1000,757714,770150,-12436,-1.61%,,0,,0
南亞科(2408),2026/09/07,現股互抵賣出,1000,518121,516100,2021,0.39%,,0,,0
南亞(1303),2026/09/07,現股互抵賣出,3000,698814,707637,-8823,-1.25%,,0,,0
聯電(2303),2026/09/07,現股互抵賣出,4000,571033,570111,922,0.16%,,0,,0
富喬(1815),2026/09/07,現股互抵賣出,4000,518121,518101,20,0.00%,,0,,0
金居(8358),2026/09/07,資券互抵賣出,1000,509368,509099,269,0.05%,,0,,0
