成交日期,股票名稱,交易類別,成交股數,成交價格,成交價金,手續費,交易稅,應收付金額,融資自備款/融券擔保品,融資金額/融券保證金,債息/利息,融券手續費/標借費用
2026/09/18,南亞(1303),現股賣出,1000,240.50,240500,46,721,239733,0,0,0,0
2026/09/18,聯電(2303),現沖買進,1000,157.50,157500,30,0,-157530,0,0,0,0
2026/09/18,聯電(2303),現沖買進,2000,155.50,311000,60,0,-311060,0,0,0,0
2026/09/18,聯電(2303),現沖買進,2000,155.50,311000,60,0,-311060,0,0,0,0
2026/09/18,聯電(2303),現沖買進,2000,156.00,312000,60,0,-312060,0,0,0,0
2026/09/18,聯電(2303),現沖賣出,1000,155.00,155000,30,232,154738,0,0,0,0
2026/09/18,聯電(2303),現沖賣出,1000,155.00,155000,30,232,154738,0,0,0,0
2026/09/18,聯電(2303),現沖賣出,1000,155.00,155000,30,232,154738,0,0,0,0
2026/09/18,聯電(2303),現沖賣出,1000,155.00,155000,30,232,154738,0,0,0,0
2026/09/18,聯電(2303),現沖賣出,1000,155.00,155000,30,232,154738,0,0,0,0
2026/09/18,聯電(2303),現沖賣出,1000,155.00,155000,30,232,154738,0,0,0,0
2026/09/18,聯電(2303),現沖賣出,1000,155.00,155000,30,232,154738,0,0,0,0
2026/09/18,聯電(2303),現股賣出,2000,155.00,310000,60,930,309010,0,0,0,0
2026/09/18,國巨*(2327),現股買進,1000,541.00,541000,105,0,-541105,0,0,0,0
2026/09/18,國巨*(2327),現股買進,1000,546.00,546000,106,0,-546106,0,0,0,0
2026/09/18,南亞科(2408),現沖買進,1000,517.00,517000,100,0,-517100,0,0,0,0
2026/09/18,南亞科(2408),現沖賣出,1000,519.00,519000,101,778,518121,0,0,0,0
2026/09/18,南亞科(2408),現股買進,1000,522.00,522000,101,0,-522101,0,0,0,0
2026/09/18,友達(2409),現股賣出,2000,30.75,61500,11,184,61305,0,0,0,0
2026/09/18,友達(2409),現股賣出,2000,30.75,61500,11,184,61305,0,0,0,0
2026/09/18,友達(2409),現股賣出,2000,30.75,61500,11,184,61305,0,0,0,0
2026/09/18,友達(2409),現股賣出,2000,30.75,61500,11,184,61305,0,0,0,0
2026/09/18,友達(2409),現股賣出,2000,30.75,61500,11,184,61305,0,0,0,0
2026/09/18,禾伸堂(3026),現股買進,1000,784.00,784000,152,0,-784152,0,0,0,0
2026/09/18,穩懋(3105),現股買進,1000,497.50,497500,97,0,-497597,0,0,0,0
2026/09/18,頎邦(6147),現沖買進,1000,223.00,223000,43,0,-223043,0,0,0,0
2026/09/18,頎邦(6147),現沖賣出,1000,227.00,227000,44,340,226616,0,0,0,0
2026/09/18,頎邦(6147),現股買進,1000,223.00,223000,43,0,-223043,0,0,0,0
2026/09/18,頎邦(6147),現股買進,1000,224.00,224000,43,0,-224043,0,0,0,0
2026/09/18,頎邦(6147),現股買進,1000,225.50,225500,43,0,-225543,0,0,0,0
2026/09/18,力積電(6770),現沖買進,2000,73.90,147800,28,0,-147828,0,0,0,0
2026/09/18,力積電(6770),現沖買進,2000,73.90,147800,28,0,-147828,0,0,0,0
2026/09/18,力積電(6770),現沖賣出,1000,73.40,73400,14,110,73276,0,0,0,0
2026/09/18,力積電(6770),現沖賣出,1000,73.60,73600,14,110,73476,0,0,0,0
2026/09/18,力積電(6770),現沖賣出,1000,73.80,73800,14,110,73676,0,0,0,0
2026/09/18,力積電(6770),現沖賣出,1000,74.00,74000,14,111,73875,0,0,0,0
2026/09/18,力積電(6770),現股賣出,1000,73.00,73000,14,219,72767,0,0,0,0
2026/09/18,力積電(6770),現股賣出,1000,73.00,73000,14,219,72767,0,0,0,0
2026/09/18,力積電(6770),現股賣出,1000,73.00,73000,14,219,72767,0,0,0,0
2026/09/18,力積電(6770),現股賣出,1000,73.00,73000,14,219,72767,0,0,0,0
2026/09/18,力積電(6770),現股賣出,1000,73.00,73000,14,219,72767,0,0,0,0
2026/09/18,力積電(6770),現股賣出,1000,73.00,73000,14,219,72767,0,0,0,0
2026/09/18,力積電(6770),現股賣出,1000,73.20,73200,14,219,72967,0,0,0,0
2026/09/18,力積電(6770),現股賣出,1000,73.40,73400,14,220,73166,0,0,0,0
2026/09/18,力積電(6770),現股賣出,4000,72.80,291200,56,873,290271,0,0,0,0
 ,小計,,,,9549700,1839,8380,-1840719,0,0,0,0
