筆數,狀態,委託書號,盤別,交易類別,委託條件,股票名稱,原委託,價格,取消,成交,剩餘,來源別,委託時間,有效日期,詳細
1,委託成功,B03TY,整股,現股買進,ROD,頎邦(6147),1,228.00,0,0,1,XQTrade,13:28:27,2026/09/18,
2,委託取消,B03QG,整股,現股買進,ROD,頎邦(6147),1,226.50,1,0,0,XQTrade,13:22:34,2026/09/18,
3,委託取消,B03P9,整股,現股買進,ROD,禾伸堂(3026),1,796.00,1,0,0,XQTrade,13:20:50,2026/09/18,
4,委託成功,B03KB,整股,現股賣出,ROD,穩懋(3105),1,508.00,0,0,1,XQTrade,13:09:22,2026/09/18,
5,委託成功,B03K3,整股,現股買進,ROD,華邦電(2344),2,177.50,0,0,2,XQTrade,13:08:58,2026/09/18,
6,委託取消,B03ID,整股,現股賣出,ROD,穩懋(3105),1,506.00,1,0,0,XQTrade,13:04:31,2026/09/18,
7,完全成交,B03FP,整股,現股買進,ROD,頎邦(6147),1,225.50,0,1,0,XQTrade,12:54:08,2026/09/18,
8,完全成交,B037T,整股,現股買進,ROD,頎邦(6147),1,224.00,0,1,0,XQTrade,12:24:50,2026/09/18,
9,委託成功,B033U,整股,現股賣出,ROD,國巨*(2327),1,559.00,0,0,1,XQTrade,12:04:36,2026/09/18,
10,完全成交,B033S,整股,現股買進,ROD,國巨*(2327),1,546.00,0,1,0,XQTrade,12:04:10,2026/09/18,
11,委託成功,B031A,整股,現股賣出,ROD,國巨*(2327),1,553.00,0,0,1,XQTrade,11:50:34,2026/09/18,
12,完全成交,B0317,整股,現股買進,ROD,穩懋(3105),1,497.50,0,1,0,XQTrade,11:50:07,2026/09/18,
13,委託取消,B0313,整股,現股買進,ROD,穩懋(3105),1,494.00,1,0,0,XQTrade,11:49:43,2026/09/18,
14,委託取消,B0312,整股,現股買進,ROD,穩懋(3105),1,493.00,1,0,0,XQTrade,11:49:32,2026/09/18,
15,委託取消,B02ZV,整股,現股買進,ROD,穩懋(3105),1,491.00,1,0,0,XQTrade,11:43:03,2026/09/18,
16,完全成交,B02ZC,整股,現股買進,ROD,國巨*(2327),1,541.00,0,1,0,XQTrade,11:40:52,2026/09/18,
17,完全成交,B02Z5,整股,現股買進,ROD,頎邦(6147),1,223.00,0,1,0,XQTrade,11:40:05,2026/09/18,
18,委託取消,B02WP,整股,現股買進,ROD,國巨*(2327),1,541.00,1,0,0,XQTrade,11:29:44,2026/09/18,
19,委託成功,B02TA,整股,現股賣出,ROD,禾伸堂(3026),1,820.00,0,0,1,XQTrade,11:15:03,2026/09/18,
20,委託取消,B02SF,整股,現股買進,ROD,聯發科(2454),1,4635.00,1,0,0,XQTrade,11:09:54,2026/09/18,
21,完全成交,B02R5,整股,現股買進,ROD,聯電(2303),2,156.00,0,2,0,XQTrade,11:05:22,2026/09/18,
22,委託取消,B02QA,整股,現股買進,ROD,聯電(2303),2,156.00,2,0,0,XQTrade,11:02:44,2026/09/18,
23,完全成交,B02M6,整股,現股賣出,ROD,南亞科(2408),1,519.00,0,1,0,XQTrade,10:47:32,2026/09/18,
24,完全成交,B02LE,整股,現股賣出,ROD,聯電(2303),2,155.00,0,2,0,XQTrade,10:45:17,2026/09/18,
25,完全成交,B02L5,整股,現股買進,ROD,禾伸堂(3026),1,784.00,0,1,0,XQTrade,10:44:02,2026/09/18,
26,完全成交,B02IG,整股,現股買進,ROD,南亞科(2408),1,522.00,0,1,0,XQTrade,10:33:53,2026/09/18,
27,完全成交,B02HK,整股,現股買進,ROD,聯電(2303),2,155.50,0,2,0,XQTrade,10:31:58,2026/09/18,
28,委託取消,B02CM,整股,現股賣出,ROD,南亞科(2408),1,528.00,1,0,0,XQTrade,10:16:57,2026/09/18,
29,委託取消,B02CI,整股,現股買進,ROD,聯電(2303),2,156.00,2,0,0,XQTrade,10:16:41,2026/09/18,
30,委託取消,B02CC,整股,現股買進,ROD,南亞科(2408),1,522.00,1,0,0,XQTrade,10:16:30,2026/09/18,
31,完全成交,B02A2,整股,現股買進,ROD,聯電(2303),2,155.50,0,2,0,XQTrade,10:09:37,2026/09/18,
32,委託取消,B029K,整股,現股買進,ROD,聯電(2303),2,154.50,2,0,0,XQTrade,10:08:40,2026/09/18,
33,委託取消,B028F,整股,現股賣出,ROD,南亞科(2408),1,528.00,1,0,0,XQTrade,10:05:20,2026/09/18,
34,委託取消,B0278,整股,現股買進,ROD,南亞科(2408),1,522.00,1,0,0,XQTrade,10:01:29,2026/09/18,
35,委託取消,B022M,整股,現股賣出,ROD,南亞科(2408),1,525.00,1,0,0,XQTrade,09:50:54,2026/09/18,
36,委託取消,B01XX,整股,現股賣出,ROD,南亞科(2408),1,523.00,1,0,0,XQTrade,09:41:42,2026/09/18,
