股票名稱,成交日期,交易類別,成交股數,帳面收入,持有成本,損益,報酬率,明細,自設持有成本,設定,新持有成本
南亞(1303),2026/09/18,現股賣出,1000,239733,237546,2187,0.92%,,0,,0
聯電(2303),2026/09/18,現股賣出,2000,309010,296557,12453,4.20%,,0,,0
力積電(6770),2026/09/18,現股賣出,12000,873006,861367,11639,1.35%,,0,,0
友達(2409),2026/09/18,現股賣出,10000,306525,302808,3717,1.23%,,0,,0
南亞科(2408),2026/09/18,現股互抵賣出,1000,518121,517100,1021,0.20%,,0,,0
頎邦(6147),2026/09/18,現股互抵賣出,1000,226616,223043,3573,1.60%,,0,,0
聯電(2303),2026/09/18,現股互抵賣出,7000,1083166,1091710,-8544,-0.78%,,0,,0
力積電(6770),2026/09/18,現股互抵賣出,4000,294303,295656,-1353,-0.46%,,0,,0
